Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.973930199979804,15.948685099952854,15.948685099952854,space,23.236285100050736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
KnowledgeY,ExpTrialStim/Square_NB_2.png,Adam KNOWS there is ONE cube,h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SA3,SP,0,0,0,220,NA,NA,NA,NA,NA,39.36238049995154,0.15945819998160005,40.1144806999946,40.21456659998512,0.9987457999959588,42.147899999981746,42.547936099988874,42.6797011999879,42.6797011999879,b,1,0.7130316999973729,43.41438689996721,43.41438689996721,43.41438689996721,43.41438689996721,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
RealityN,ExpTrialStim/Triangle_B_Triangle_2.png,"In REALITY, there are TWO cubes",b,h,TB-Ig,2,0,2,1,0,1,1,0,1,2,B,PropFalse,TB1: TC2,TO: TY,0,1,1,77,NA,NA,NA,NA,NA,43.41438689996721,4.647999885492e-4,44.14765429997351,44.24796739994781,0.8308241000049748,46.18109529995127,46.58124379999936,46.683231799979694,46.683231799979694,h,1,1.0307283999864012,47.731192799983546,47.731192799983546,47.731192799983546,47.731192799983546,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
KnowledgeN,ExpTrialStim/Square_Square_NB_4.png,Adam KNOWS there is ONE cube,b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA2: SB1,SP: SG,0,2,2,285,NA,NA,NA,NA,NA,47.731192799983546,0.00196349999168887,48.464497999986634,48.5646018999978,0.8292349000112154,50.497911099984776,50.89792369998759,51.00010099995416,51.00010099995416,h,1,0.6725389000494033,51.69753429997945,51.69753429997945,51.69753429997945,51.69753429997945,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
KnowledgeN,ExpTrialStim/Square_Triangle_NB_2.png,Adam KNOWS there are ZERO cubes,b,h,TB-K,2,1,1,2,1,1,0,0,0,0,NB,PropFalse,SB1: TB3,SB: TO,0,3,3,280,NA,NA,NA,NA,NA,51.69753429997945,4.6730000758543e-4,52.430818299995735,52.5311614999664,0.8310641000280157,54.4644214999862,54.86447149998275,54.96678739995696,54.96678739995696,h,1,1.041853400005493,56.03101529995911,56.03101529995911,56.03101529995911,56.03101529995911,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
RealityN,ExpTrialStim/Square_B_Square_4.png,"In REALITY, there are ZERO cubes",b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SB1: SD2,SG: SP,0,4,4,99,NA,NA,NA,NA,NA,56.03101529995911,4.6860001748427e-4,56.76448299997719,56.86456399998861,0.8313398000318557,58.79791809996823,59.19773939996958,59.299933499947656,59.299933499947656,h,1,0.8137994999997318,60.131154499948025,60.131154499948025,60.131154499948025,60.131154499948025,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
KnowledgeY,ExpTrialStim/Square_Triangle_B_4.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB1: TA3,SP: TY,0,5,5,261,NA,NA,NA,NA,NA,60.131154499948025,0.00195639999583363,60.86423729994567,60.96450329996878,0.8294313999940641,62.897902600001544,63.29782029998023,63.39994239999214,63.39994239999214,b,1,4.585107000020798,68.01444909995189,68.01444909995189,68.01444909995189,68.01444909995189,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
RealityY,ExpTrialStim/Triangle_B_Square_4.png,"In REALITY, there is ONE cube",h,b,FB-Ig,2,1,1,1,0,1,1,1,0,1,B,-,SD3: TB1,SB: TO,0,6,6,53,NA,NA,NA,NA,NA,68.01444909995189,0.00198960001580417,68.74782140000025,68.84784849995049,0.8295521999825723,70.78119959996548,71.18121650000103,71.28333619999466,71.28333619999466,b,1,1.7572725999634713,73.06424619996687,73.06424619996687,73.06424619996687,73.06424619996687,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
RealityY,ExpTrialStim/Triangle_B_Triangle_2.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,2,0,2,1,0,1,1,0,1,0,B,-,TB1: TC2,TO: TY,0,7,7,23,NA,NA,NA,NA,NA,73.06424619996687,4.4969998998567e-4,73.79771219997201,73.89786889997777,0.8313129000016488,75.83120879996568,76.23119999998016,76.33338779996848,76.33338779996848,b,1,1.8835739999776704,78.24757680000039,78.24757680000039,78.24757680000039,78.24757680000039,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
RealityY,ExpTrialStim/Square_NB_3.png,"In REALITY, there is ONE cube",h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SB2,SG,0,8,8,5,NA,NA,NA,NA,NA,78.24757680000039,0.00196980003966018,78.98106309998548,79.08104019996244,0.8295117000234313,81.01432469999418,81.41446049994556,81.51662829995621,81.51662829995621,b,1,1.0363513000193052,82.5810741999885,82.5810741999885,82.5810741999885,82.5810741999885,NA,NA,NA,NA,NA,NA,024,001,2024-02-12_17h07.20.893,PsychoPy Exp,2023.1.2,59.991781133241815
