Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.09627099998761,16.071431499905884,16.071431499905884,space,23.94488240010105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
RealityN,ExpTrialStim/Triangle_Triangle_B_1.png,"In REALITY, there is ONE cube",b,h,TB-K-B,2,0,2,2,0,2,0,0,0,1,B,PropFalse,TA1: TB2,TY: TO,0,0,0,80,NA,NA,NA,NA,NA,40.18789369997103,0.16174680006224662,40.937363200006075,41.03722719999496,0.9984725000103936,42.970811899984255,43.370708099915646,43.49731729994528,43.49731729994528,h,1,2.4546574000269175,45.970590799930505,45.970590799930505,45.970590799930505,45.970590799930505,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
KnowledgeN,ExpTrialStim/Triangle_B_Square_2.png,Adam KNOWS there are ZERO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,PropFalse,SC3: TB3,SP: TY,0,1,1,321,NA,NA,NA,NA,NA,45.970590799930505,9.2099991161376e-4,46.70381039998029,46.804128899937496,0.8299325999105349,48.73745139990933,49.137374999932945,49.239442999940366,49.239442999940366,h,1,2.512771899928339,51.770748600014485,51.770748600014485,51.770748600014485,51.770748600014485,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
BeliefY,ExpTrialStim/Triangle_B_Square_3.png,Adam THINKS there are ZERO cubes,h,b,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,-,SD1: TA2,SG: TR,0,2,2,160,NA,NA,NA,NA,NA,51.770748600014485,0.00198980001732707,52.503969899960794,52.60411720001139,0.8293402000563219,54.53741739992984,54.93746289995033,55.03950409998651,55.03950409998651,b,1,1.4726746000815183,56.537211299990304,56.537211299990304,56.537211299990304,56.537211299990304,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
KnowledgeY,ExpTrialStim/Square_Triangle_B_3.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SA3: TB1,SP: TY,0,3,3,260,NA,NA,NA,NA,NA,56.537211299990304,0.00170450005680322,57.270645699929446,57.37062770000193,0.8295349000254646,59.30410059995483,59.704064399935305,59.80607459996827,59.80607459996827,b,1,3.1781459999037907,63.00406339997426,63.00406339997426,63.00406339997426,63.00406339997426,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
RealityN,ExpTrialStim/Square_B_Square_8.png,"In REALITY, there is ONE cube",b,h,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,PropFalse,SA1: SD2,SP: SG,0,4,4,103,NA,NA,NA,NA,NA,63.00406339997426,0.00171790004242211,63.73713489994407,63.83739739994053,0.8296020000707358,65.7707197999116,66.17079539992847,66.27277599996887,66.27277599996887,h,1,1.855370600009337,68.15416579996236,68.15416579996236,68.15416579996236,68.15416579996236,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
KnowledgeY,ExpTrialStim/Square_Square_NB_2.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA2: SB3,SB: SG,0,5,5,229,NA,NA,NA,NA,NA,68.15416579996236,0.00173420005012303,68.88727979990654,68.98725070001092,0.829564500018023,70.9207141000079,71.32055980002042,71.42283749999478,71.42283749999478,b,1,0.8500205000163987,72.30398869991768,72.30398869991768,72.30398869991768,72.30398869991768,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
KnowledgeN,ExpTrialStim/Square_B_Square_6.png,Adam KNOWS there are TWO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,PropTrueNoKnowledge,SB3: SC1,SP: SG,0,6,6,317,NA,NA,NA,NA,NA,72.30398869991768,0.00173059990629553,73.03726229991298,73.13736890000291,0.8294000999303535,75.07071999995969,75.4705954999663,75.57289880001917,75.57289880001917,h,1,6.61124750005547,82.2039841999067,82.2039841999067,82.2039841999067,82.2039841999067,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
RealityY,ExpTrialStim/Triangle_Triangle_B_2.png,"In REALITY, there are ZERO cubes",h,b,TB-K-B,2,0,2,2,0,2,0,0,0,0,B,-,TA2: TB3,TO: TR,0,7,7,27,NA,NA,NA,NA,NA,82.2039841999067,0.00168979994487017,82.9371955000097,83.0372439000057,0.8295245999470353,84.97073860000819,85.37052759993821,85.47275409998838,85.47275409998838,b,1,1.0233845000620931,86.52038309990894,86.52038309990894,86.52038309990894,86.52038309990894,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
BeliefN,ExpTrialStim/Square_B_Square_2.png,Adam THINKS there are ZERO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SA2: SC3,SB: SP,0,8,8,205,NA,NA,NA,NA,NA,86.52038309990894,0.00171420001424849,87.25394690001849,87.35400269995444,0.8295521999243647,89.28725099994335,89.687320399913,89.78939479996916,89.78939479996916,h,1,1.5623930000001565,91.37039039994124,91.37039039994124,91.37039039994124,91.37039039994124,NA,NA,NA,NA,NA,NA,032,001,2024-02-15_14h43.25.566,PsychoPy Exp,2023.1.2,60.023433186994815
