Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.96774960000039,27.936950800001796,27.936950800001796,space,15.454231699994123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefN,ExpTrialStim/Triangle_Triangle_B_6.png,Adam THINKS there is ONE cube,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,1,B,PropFalse,TA1: TB3,TO: TY,0,0,0,189,NA,NA,NA,NA,NA,43.5636205999981,0.15581879999808734,44.30268839999917,44.40284670000256,0.9822773999985656,46.33616679999977,46.73617340000055,46.86472080000385,46.86472080000385,h,1,4.734717200000887,51.619452699997055,51.619452699997055,51.619452699997055,51.619452699997055,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityY,ExpTrialStim/B_Square_1.png,"In REALITY, there is ONE cube",h,b,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,-,SC2,SG,0,1,1,38,NA,NA,NA,NA,NA,51.619452699997055,0.00169949999690288,52.35271069999726,52.45263310000155,0.8281404000008479,54.38601120000385,54.78613480000058,54.8882076000009,54.8882076000009,b,1,1.0869573000018136,56.00274540000101,56.00274540000101,56.00274540000101,56.00274540000101,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Triangle_NB_3.png,"In REALITY, there are TWO cubes",b,h,TB-K,1,0,1,1,0,1,0,0,0,2,NB,PropFalse,TB2,TR,0,2,2,56,NA,NA,NA,NA,NA,56.00274540000101,0.00202790000184904,56.7360348000002,56.83610829999816,0.8297698000023956,58.769505299998855,59.16943049999827,59.27161419999902,59.27161419999902,h,1,3.0555993000016315,62.35272519999853,62.35272519999853,62.35272519999853,62.35272519999853,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/Square_NB_1.png,Adam THINKS there is ONE cube,h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SA1,SB,0,3,3,111,NA,NA,NA,NA,NA,62.35272519999853,0.00196200000209501,63.0860165999984,63.18612440000288,0.8298960999964038,65.11943040000187,65.51943729999766,65.62153989999933,65.62153989999933,b,1,1.4179455999983477,67.06930550000106,67.06930550000106,67.06930550000106,67.06930550000106,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Triangle_NB_1.png,"In REALITY, there is ONE cube",b,h,TB-K,1,0,1,1,0,1,0,0,0,1,NB,PropFalse,TA1,TO,0,4,4,54,NA,NA,NA,NA,NA,67.06930550000106,0.002198900001531,67.80265440000221,67.90265860000363,0.8294399000005797,69.8360485000012,70.23607350000384,70.33822099999816,70.33822099999816,h,1,1.213247400002729,71.56922830000258,71.56922830000258,71.56922830000258,71.56922830000258,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeN,ExpTrialStim/Square_B_Triangle_1.png,Adam KNOWS there is ONE cube,b,h,TB-Ig,2,1,1,1,1,0,1,0,1,1,B,PropTrueNoKnowledge,SB1: TD3,SB: TO,0,5,5,294,NA,NA,NA,NA,NA,71.56922830000258,0.00147709999873768,72.302674999999,72.40276850000373,0.8301585000008345,74.33600719999959,74.73611930000334,74.83820289999858,74.83820289999858,h,1,2.2733159999988857,77.13604640000267,77.13604640000267,77.13604640000267,77.13604640000267,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/Square_B_Square_6.png,Adam THINKS there is ONE cube,h,b,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,-,SB3: SC1,SP: SG,0,6,6,155,NA,NA,NA,NA,NA,77.13604640000267,0.00215989999560406,77.86937300000136,77.9694038000016,0.8295800999985659,79.90276009999798,80.30265040000086,80.40493509999942,80.40493509999942,b,1,3.5625327000016114,83.98602140000003,83.98602140000003,83.98602140000003,83.98602140000003,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/B_Square_4.png,"In REALITY, there are TWO cubes",b,h,FB-Ig,1,1,0,0,0,0,1,1,0,2,B,PropFalse,SD2,SB,0,7,7,95,NA,NA,NA,NA,NA,83.98602140000003,0.00215249999746447,84.7192550999971,84.81936940000014,0.8294654999990598,86.75270430000091,87.15254709999863,87.25486739999906,87.25486739999906,h,1,1.248683899997559,88.51930949999951,88.51930949999951,88.51930949999951,88.51930949999951,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
KnowledgeN,ExpTrialStim/Square_Triangle_B_12.png,Adam KNOWS there are TWO cubes,b,h,TB-K-B,2,1,1,2,1,1,0,0,0,2,B,PropFalse,SB3: TA1,SB: TO,0,8,8,307,NA,NA,NA,NA,NA,88.51930949999951,0.00191780000022845,89.25261100000353,89.35253139999986,0.8297692999985884,91.28597199999786,91.68603289999736,91.78817079999862,91.78817079999862,h,1,1.4911825000017416,93.30266700000357,93.30266700000357,93.30266700000357,93.30266700000357,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/Triangle_NB_1.png,Adam THINKS there are ZERO cubes,h,b,TB-K,1,0,1,1,0,1,0,0,0,0,NB,-,TA1,TO,0,9,9,108,NA,NA,NA,NA,NA,93.30266700000357,0.00216149999323533,94.03591089999829,94.13597200000368,0.8295269999944139,96.06937299999844,96.46933459999856,96.57152309999948,96.57152309999948,b,1,3.683376100001624,100.28565320000052,100.28565320000052,100.28565320000052,100.28565320000052,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
RealityN,ExpTrialStim/Square_NB_1.png,"In REALITY, there are ZERO cubes",b,h,TB-K,1,1,0,1,1,0,0,0,0,0,NB,PropFalse,SA1,SB,0,10,10,57,NA,NA,NA,NA,NA,100.28565320000052,5.0420000479789e-4,101.0192418000006,101.1193174,0.8311419000019669,103.05266370000028,103.45252459999756,103.55487059999724,103.55487059999724,h,1,0.8125081000034697,104.38595409999834,104.38595409999834,104.38595409999834,104.38595409999834,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefY,ExpTrialStim/Square_B_2.png,Adam THINKS there is ONE cube,h,b,TB-Ig,1,1,0,1,1,0,0,0,0,1,B,-,SB2,SB,0,11,11,129,NA,NA,NA,NA,NA,104.38595409999834,0.00215010000101756,105.11909159999776,105.21932150000066,0.8294103000007453,107.15267309999764,107.5525278999994,107.65482899999915,107.65482899999915,b,1,1.1924015000040529,108.86926179999864,108.86926179999864,108.86926179999864,108.86926179999864,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
BeliefN,ExpTrialStim/Square_B_2.png,Adam THINKS there are ZERO cubes,b,h,TB-Ig,1,1,0,1,1,0,0,0,0,0,B,PropFalse,SB2,SB,0,12,12,183,NA,NA,NA,NA,NA,108.86926179999864,0.00199699999939184,109.60250120000272,109.70266300000368,0.8294505999947432,111.636001699997,112.03597219999938,112.13811900000292,112.13811900000292,b,0,1.1814230000018142,113.335880300001,113.335880300001,113.335880300001,113.335880300001,NA,NA,NA,NA,NA,NA,NA,014,001,2024-02-09_09h41.13.076,PsychoPy Exp,2023.1.2,60.13742604666947
