Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
KnowledgeY,ExpTrialStim/Triangle_Triangle_B_4.png,Adam KNOWS there are ZERO cubes,h,b,TB-Ig,2,0,2,2,0,2,0,0,0,0,B,-,TA2: TB1,TY: TR,0,285,285,237,NA,NA,NA,NA,NA,1377.6564180999994,4.6039998414926e-4,1378.3899122999865,1378.4900403999782,0.8313507999991998,1380.423140399973,1380.823145799979,1380.925394299993,1380.925394299993,b,1,0.7356181000068318,1381.6899165999785,1381.6899165999785,1381.6899165999785,1381.6899165999785,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefN,ExpTrialStim/Square_B_Square_6.png,Adam THINKS there are TWO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,PropTrueNoBelief,SB3: SC1,SP: SG,0,286,286,209,NA,NA,NA,NA,NA,1381.6899165999785,0.00166710000485181,1382.422967599996,1382.523063999979,0.829242100007832,1384.456538599974,1384.8566554999852,1384.9587453999848,1384.9587453999848,h,1,1.3101807000057306,1386.289813499985,1386.289813499985,1386.289813499985,1386.289813499985,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefY,ExpTrialStim/Square_Square_B_10.png,Adam THINKS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA2: SB1,SG: SB,0,287,287,143,NA,NA,NA,NA,NA,1386.289813499985,0.00165799999376758,1387.0230282999985,1387.123339599988,0.8294680999824777,1389.0566738999914,1389.4566896999895,1389.5587022999823,1389.5587022999823,b,1,0.7020666000025813,1390.2896253999788,1390.2896253999788,1390.2896253999788,1390.2896253999788,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeN,ExpTrialStim/Square_Square_B_9.png,Adam KNOWS there are ZERO cubes,b,h,TB-K-B,2,2,0,2,2,0,0,0,0,0,B,PropFalse,SA3: SB1,SB: SG,0,288,288,300,NA,NA,NA,NA,NA,1390.2896253999788,6.534999993164e-4,1391.0229083999875,1391.1230723999906,0.830665699992096,1393.0565321999893,1393.4565657999774,1393.5587361999787,1393.5587361999787,h,1,0.7669430999958422,1394.3565467000008,1394.3565467000008,1394.3565467000008,1394.3565467000008,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityY,ExpTrialStim/Triangle_B_2.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,1,0,1,1,0,1,0,0,0,0,B,-,TB2,TO,0,289,289,19,NA,NA,NA,NA,NA,1394.3565467000008,0.00213500001700595,1395.0899017999764,1395.1897478999745,0.8300164000247605,1397.1232055999862,1397.5232369999867,1397.6254368999798,1397.6254368999798,b,1,1.4751900999981444,1399.123131499975,1399.123131499975,1399.123131499975,1399.123131499975,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeN,ExpTrialStim/Square_Triangle_B_11.png,Adam KNOWS there are TWO cubes,b,h,TB-K-B,2,1,1,2,1,1,0,0,0,2,B,PropFalse,SB2: TA3,SG: TR,0,290,290,306,NA,NA,NA,NA,NA,1399.123131499975,7.6259998604655e-4,1399.8565188999928,1399.9565781999845,0.8308565999905113,1401.8899421999813,1402.2899570000009,1402.3919588999995,1402.3919588999995,h,1,0.7729580999875907,1403.189712899999,1403.189712899999,1403.189712899999,1403.189712899999,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeN,ExpTrialStim/Triangle_B_Square_2.png,Adam KNOWS there are ZERO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,PropFalse,SC3: TB3,SP: TY,0,291,291,321,NA,NA,NA,NA,NA,1403.189712899999,3.7510000402107e-4,1403.922916099982,1404.0233239999798,0.8312449999793898,1405.9564530999924,1406.3565135999816,1406.4585267999792,1406.4585267999792,h,1,2.346837899996899,1408.8230457999744,1408.8230457999744,1408.8230457999744,1408.8230457999744,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
RealityN,ExpTrialStim/Triangle_B_2.png,"In REALITY, there is ONE cube",b,h,TB-Ig,1,0,1,1,0,1,0,0,0,1,B,PropFalse,TB2,TO,0,292,292,73,NA,NA,NA,NA,NA,1408.8230457999744,0.0016532999870833,1409.5565095999918,1409.656576599984,0.829515999997966,1411.589880799991,1411.989863499999,1412.0919284999836,1412.0919284999836,h,1,0.9137199000106192,1413.0230986999811,1413.0230986999811,1413.0230986999811,1413.0230986999811,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
KnowledgeN,ExpTrialStim/Square_Square_NB_5.png,Adam KNOWS there is ONE cube,b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA3: SB2,SB: SP,0,293,293,286,NA,NA,NA,NA,NA,1413.0230986999811,0.0016211999754887,1413.756453799986,1413.8565949999902,0.829386599973077,1415.789807699999,1416.189865399996,1416.2920729999896,1416.2920729999896,h,1,0.7922524999885354,1417.106195499975,1417.106195499975,1417.106195499975,1417.106195499975,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
BeliefN,ExpTrialStim/Triangle_Triangle_B_7.png,Adam THINKS there are TWO cubes,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,2,B,PropFalse,TA1: TB2,TR: TY,0,294,294,190,NA,NA,NA,NA,NA,1417.106195499975,4.0570000419393e-4,1417.8397948999773,1417.9397860999743,0.8309975999873132,1419.873250499979,1420.2732544999744,1420.3751948999998,1420.3751948999998,h,1,1.3820570999814663,1421.773158899974,1421.773158899974,1421.773158899974,1421.773158899974,NA,NA,NA,NA,NA,NA,006,001,2024-02-07_10h55.01.467,PsychoPy Exp,2023.1.2,60.06319849271536
