Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.42051179999544,21.39028159999725,21.39028159999725,space,32.607826200001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
RealityN,ExpTrialStim/Square_B_Square_4.png,"In REALITY, there are ZERO cubes",b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SB1: SD2,SG: SP,0,0,0,99,NA,NA,NA,NA,NA,54.18101179999939,0.16948620000039227,54.92267349999747,55.02280069999688,0.9984273000009124,56.95611989999452,57.35606739999639,57.50327859999379,57.50327859999379,h,1,1.8382129999954488,59.37251699999615,59.37251699999615,59.37251699999615,59.37251699999615,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
KnowledgeN,ExpTrialStim/Square_B_Square_3.png,Adam KNOWS there are TWO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,PropTrueNoKnowledge,SA3: SD1,SP: SB,0,1,1,314,NA,NA,NA,NA,NA,59.37251699999615,4.6499999734805e-4,60.10596179999993,60.20616959999461,0.830685100001574,62.13939779999782,62.53940589999547,62.64153359999909,62.64153359999909,h,1,1.517265900001803,64.18935449999844,64.18935449999844,64.18935449999844,64.18935449999844,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
RealityN,ExpTrialStim/Square_B_Square_1.png,"In REALITY, there are ZERO cubes",b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SA1: SC2,SG: SB,0,2,2,96,NA,NA,NA,NA,NA,64.18935449999844,0.00307489999977406,64.92235339999752,65.02245889999904,0.8292811999999685,66.9561390999952,67.35593610000069,67.45821539999451,67.45821539999451,h,1,2.355747900001006,69.83933329999854,69.83933329999854,69.83933329999854,69.83933329999854,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
KnowledgeY,ExpTrialStim/Square_Triangle_B_3.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SA3: TB1,SP: TY,0,3,3,260,NA,NA,NA,NA,NA,69.83933329999854,0.00200979999499395,70.5725811999946,70.67272019999655,0.8295278000005055,72.60604379999859,73.00604789999488,73.10820379999495,73.10820379999495,b,1,1.7617019999961483,74.88926440000068,74.88926440000068,74.88926440000068,74.88926440000068,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
KnowledgeN,ExpTrialStim/B_Square_4.png,Adam KNOWS there is ONE cube,b,h,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,PropTrueNoKnowledge,SD2,SB,0,4,4,311,NA,NA,NA,NA,NA,74.88926440000068,0.00200200000108452,75.62259619999531,75.72258609999699,0.8295218000057503,77.65591989999666,78.05601469999965,78.1582156000004,78.1582156000004,h,1,1.9676049999980023,80.15598759999557,80.15598759999557,80.15598759999557,80.15598759999557,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
KnowledgeN,ExpTrialStim/Square_Square_B_9.png,Adam KNOWS there are ZERO cubes,b,h,TB-K-B,2,2,0,2,2,0,0,0,0,0,B,PropFalse,SA3: SB1,SB: SG,0,5,5,300,NA,NA,NA,NA,NA,80.15598759999557,0.00211429999762913,80.88924269999552,80.98922909999965,0.8293049999992945,82.92271419999452,83.32267759999377,83.42484179999883,83.42484179999883,h,1,1.1499557999995886,84.60599720000027,84.60599720000027,84.60599720000027,84.60599720000027,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
RealityY,ExpTrialStim/Square_Square_NB_2.png,"In REALITY, there are TWO cubes",h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA2: SB3,SB: SG,0,6,6,13,NA,NA,NA,NA,NA,84.60599720000027,0.00211459999991348,85.33921079999709,85.43935249999777,0.8294748999978765,87.37268849999964,87.77255999999761,87.87467749999632,87.87467749999632,b,1,1.8839972999994643,89.78925699999672,89.78925699999672,89.78925699999672,89.78925699999672,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
RealityY,ExpTrialStim/Square_B_Square_6.png,"In REALITY, there are TWO cubes",h,b,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,-,SB3: SC1,SP: SG,0,7,7,47,NA,NA,NA,NA,NA,89.78925699999672,0.00193240000226069,90.52256999999372,90.62265849999676,0.8295609999986482,92.55599589999474,92.95601279999391,93.0580295999971,93.0580295999971,b,1,1.1161764999997104,94.20583649999752,94.20583649999752,94.20583649999752,94.20583649999752,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
KnowledgeN,ExpTrialStim/Triangle_Triangle_NB_1.png,Adam KNOWS there is ONE cube,b,h,TB-K,2,0,2,2,0,2,0,0,0,1,NB,PropFalse,TA1: TB2,TY: TO,0,8,8,276,NA,NA,NA,NA,NA,94.20583649999752,0.00138399999559624,94.9392202999952,95.0392995000002,0.8303414999973029,96.97248539999418,97.37263279999752,97.47482959999616,97.47482959999616,h,1,1.8509844000000155,99.35592489999544,99.35592489999544,99.35592489999544,99.35592489999544,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
BeliefN,ExpTrialStim/Triangle_Triangle_B_7.png,Adam THINKS there are TWO cubes,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,2,B,PropFalse,TA1: TB2,TR: TY,0,9,9,190,NA,NA,NA,NA,NA,99.35592489999544,0.00218440000026021,100.08924470000056,100.18929949999438,0.8295851000002585,102.12259619999531,102.5226365999988,102.62466489999495,102.62466489999495,h,1,0.91661970000132,103.57237239999812,103.57237239999812,103.57237239999812,103.57237239999812,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
RealityY,ExpTrialStim/Triangle_Triangle_NB_1.png,"In REALITY, there are ZERO cubes",h,b,TB-K,2,0,2,2,0,2,0,0,0,0,NB,-,TA1: TB2,TY: TO,0,10,10,6,NA,NA,NA,NA,NA,103.57237239999812,5.8629999693948e-4,104.30582209999557,104.4059369999959,0.8312051999964751,106.33911939999962,106.73918939999568,106.84141609999642,106.84141609999642,b,1,4.492058499999985,111.35570870000085,111.35570870000085,111.35570870000085,111.35570870000085,NA,NA,NA,NA,NA,NA,010,001,2024-02-08_09h41.27.115,PsychoPy Exp,2023.1.2,59.99613624996204
