Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,participant,session,date,expName,psychopyVersion,frameRate
KnowledgeN,ExpTrialStim/Square_B_2.png,Adam KNOWS there is ONE cube,b,h,TB-Ig,1,1,0,1,1,0,0,0,0,1,B,PropTrueNoKnowledge,SB2,SB,0,9,9,291,NA,NA,NA,NA,NA,127.60102259999258,7.6460000127553e-4,128.3344259000005,128.43454949998704,0.8311551000078907,130.36779879999813,130.76787359999437,130.8698818999983,130.8698818999983,h,1,5.5784817000094336,136.4675930999947,136.4675930999947,136.4675930999947,136.4675930999947,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Triangle_NB_3.png,Adam KNOWS there is ONE cube,h,b,TB-K,2,1,1,2,1,1,0,0,0,1,NB,-,SB3: TA2,SP: TY,0,10,10,227,NA,NA,NA,NA,NA,136.4675930999947,4.897000035271e-4,137.2010658999934,137.3011991999956,0.8305363999970723,139.23458389998996,139.63452389999293,139.73658949999663,139.73658949999663,b,1,1.7040683000086574,141.4676000999898,141.4676000999898,141.4676000999898,141.4676000999898,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Triangle_B_2.png,Adam THINKS there is ONE cube,b,h,TB-Ig,1,0,1,1,0,1,0,0,0,1,B,PropFalse,TB2,TO,0,11,11,181,NA,NA,NA,NA,NA,141.4676000999898,0.00195029999304097,142.2010513999994,142.300914499996,0.8295459999935701,144.23451840000052,144.63451159998658,144.7365745999996,144.7365745999996,h,1,3.0797286000015447,147.8344844999956,147.8344844999956,147.8344844999956,147.8344844999956,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Triangle_B_Square_3.png,"In REALITY, there are TWO cubes",b,h,FB-Ig,2,1,1,1,0,1,1,1,0,2,B,PropFalse,SD1: TA2,SG: TR,0,12,12,106,NA,NA,NA,NA,NA,147.8344844999956,0.00180110000655986,148.5677069999947,148.66781759999867,0.8295165000017732,150.60119549999945,151.0009660999931,151.1032198999892,151.1032198999892,h,1,1.489043199995649,152.61776969999482,152.61776969999482,152.61776969999482,152.61776969999482,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_Square_NB_1.png,"In REALITY, there are TWO cubes",h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA1: SB2,SP: SB,0,13,13,12,NA,NA,NA,NA,NA,152.61776969999482,0.00197090000438038,153.35102289999486,153.45113709999714,0.8294888000091305,155.38430929998867,155.78449599999294,155.88660369999707,155.88660369999707,b,1,1.593084500011173,157.50077509999392,157.50077509999392,157.50077509999392,157.50077509999392,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Square_B_5.png,Adam KNOWS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB2,SP: SB,0,14,14,250,NA,NA,NA,NA,NA,157.50077509999392,4.0009999065659e-4,158.23433209999348,158.33445829999982,0.8311977999983355,160.2678506999946,160.6678174999979,160.76988329998858,160.76988329998858,b,1,1.3986976000014693,162.1844240999926,162.1844240999926,162.1844240999926,162.1844240999926,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Triangle_B_Square_2.png,Adam KNOWS there are ZERO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,PropFalse,SC3: TB3,SP: TY,0,15,15,321,NA,NA,NA,NA,NA,162.1844240999926,0.00213439999788533,162.9176174999884,163.01780509999662,0.8292874000035226,164.95099509999272,165.351099099993,165.45323169999756,165.45323169999756,h,1,14.994629900000293,180.4675799999968,180.4675799999968,180.4675799999968,180.4675799999968,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Triangle_B_Square_1.png,Adam THINKS there are ZERO cubes,h,b,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,-,SC1: TA1,SB: TO,0,16,16,158,NA,NA,NA,NA,NA,180.4675799999968,0.00108750000072177,181.2009484999871,181.3010673999961,0.8306532999995397,183.23440849999315,183.6342966999946,183.7364927999879,183.7364927999879,b,1,2.848137199995108,186.6008279999951,186.6008279999951,186.6008279999951,186.6008279999951,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_Square_NB_6.png,"In REALITY, there is ONE cube",b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA1: SB3,SG: SB,0,17,17,71,NA,NA,NA,NA,NA,186.6008279999951,0.00205330000608228,187.33423109998697,187.43437439999252,0.8295739000022877,189.36756969999988,189.7676247999916,189.8698574000009,189.8698574000009,h,1,1.3625068000110332,191.25084129998868,191.25084129998868,191.25084129998868,191.25084129998868,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Triangle_Triangle_NB_3.png,Adam KNOWS there are ZERO cubes,h,b,TB-K,2,0,2,2,0,2,0,0,0,0,NB,-,TA3: TB1,TR: TY,0,18,18,224,NA,NA,NA,NA,NA,191.25084129998868,0.00194950000150129,191.98427109999463,192.0842094999971,0.82925090000208,194.01756889998796,194.4176864999899,194.51986359999864,194.51986359999864,b,1,2.9117075000103796,197.4508172999922,197.4508172999922,197.4508172999922,197.4508172999922,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Triangle_B_11.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB2: TA3,SG: TR,0,19,19,268,NA,NA,NA,NA,NA,197.4508172999922,5.6089999270625e-4,198.18419239998912,198.28435029998943,0.8312983999931021,200.21762450000097,200.61762539998745,200.7197993000009,200.7197993000009,b,1,2.592318399998476,203.33433059998788,203.33433059998788,203.33433059998788,203.33433059998788,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_B_Square_2.png,Adam KNOWS there is ONE cube,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,PropFalse,SA2: SC3,SB: SP,0,20,20,313,NA,NA,NA,NA,NA,203.33433059998788,0.00193600000056903,204.0675811999972,204.16761939998833,0.829542899999069,206.10095699998783,206.50093369999377,206.60303439998825,206.60303439998825,h,1,3.829087799997069,210.4509595999989,210.4509595999989,210.4509595999989,210.4509595999989,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_B_Square_3.png,Adam KNOWS there are TWO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,PropTrueNoKnowledge,SA3: SD1,SP: SB,0,21,21,314,NA,NA,NA,NA,NA,210.4509595999989,0.00178160000359639,211.18418259998725,211.2843208999984,0.8296054000093136,213.21757179999256,213.61762369998905,213.7197543999937,213.7197543999937,h,1,2.928385000006529,216.6675489999907,216.6675489999907,216.6675489999907,216.6675489999907,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/B_Square_3.png,"In REALITY, there is ONE cube",h,b,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,-,SD1,SP,0,22,22,40,NA,NA,NA,NA,NA,216.6675489999907,0.0019274999940535,217.4008090999996,217.50096399999163,0.8294890999968629,219.4342622999975,219.83427729998948,219.9363796999969,219.9363796999969,b,1,1.727138699992793,221.68409679998877,221.68409679998877,221.68409679998877,221.68409679998877,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_Square_NB_3.png,"In REALITY, there are ZERO cubes",b,h,TB-K,2,2,0,2,2,0,0,0,0,0,NB,PropFalse,SA3: SB1,SG: SP,0,23,23,68,NA,NA,NA,NA,NA,221.68409679998877,4.0889999945648e-4,222.41746719999355,222.5176298999868,0.8313455000024987,224.45092289999593,224.85086890000093,224.95307540000067,224.95307540000067,h,1,1.6791241000028094,226.65086059999885,226.65086059999885,226.65086059999885,226.65086059999885,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Square_NB_4.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA2: SB1,SP: SG,0,24,24,231,NA,NA,NA,NA,NA,226.65086059999885,0.00192840000090654,227.38412339999925,227.4842576999945,0.8298651999939466,229.4176191999868,229.81758059999265,229.91972729998815,229.91972729998815,b,1,2.951760000010836,232.90061669998977,232.90061669998977,232.90061669998977,232.90061669998977,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_Triangle_NB_2.png,"In REALITY, there are ZERO cubes",b,h,TB-K,2,1,1,2,1,1,0,0,0,0,NB,PropFalse,SB1: TB3,SB: TO,0,25,25,64,NA,NA,NA,NA,NA,232.90061669998977,6.0150001081638e-4,233.6341020999971,233.7342345999932,0.8311172000103397,235.66758149999075,236.06757479999217,236.16967599999043,236.16967599999043,h,1,2.7259495000034804,238.91739449999295,238.91739449999295,238.91739449999295,238.91739449999295,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Square_B_6.png,Adam KNOWS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA1: SB3,SB: SG,0,26,26,251,NA,NA,NA,NA,NA,238.91739449999295,0.00114340000436641,239.65078729999368,239.75091409999004,0.8304632000072161,241.68421279999893,242.08401069999672,242.18623339998885,242.18623339998885,b,1,3.798308999990695,246.00140549999196,246.00140549999196,246.00140549999196,246.00140549999196,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_B_Triangle_2.png,"In REALITY, there are TWO cubes",b,h,TB-Ig,2,1,1,1,1,0,1,0,1,2,B,PropFalse,SD3: TD2,SP: TY,0,27,27,79,NA,NA,NA,NA,NA,246.00140549999196,0.00218549999408423,246.7340633999993,246.8342263999948,0.8294626999995671,248.7674069999921,249.1674561999971,249.26961939998728,249.26961939998728,h,1,3.178425399994012,252.46742459999223,252.46742459999223,252.46742459999223,252.46742459999223,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_Square_B_10.png,Adam KNOWS there are ZERO cubes,b,h,TB-K-B,2,2,0,2,2,0,0,0,0,0,B,PropFalse,SA2: SB1,SG: SB,0,28,28,301,NA,NA,NA,NA,NA,252.46742459999223,0.00211640000634361,253.20069769999827,253.3007380999916,0.829542899999069,255.2340081000002,255.63419519999297,255.73631059999752,255.73631059999752,h,1,3.4556763999862596,259.21740339999087,259.21740339999087,259.21740339999087,259.21740339999087,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Square_B_Triangle_2.png,Adam THINKS there are TWO cubes,b,h,TB-Ig,2,1,1,1,1,0,1,0,1,2,B,PropFalse,SD3: TD2,SP: TY,0,29,29,187,NA,NA,NA,NA,NA,259.21740339999087,0.00215909999678842,259.9507072999986,260.0508911999932,0.8295129000034649,261.984063099997,262.38420279999264,262.4863411999977,262.4863411999977,h,1,3.593458500006818,266.1007152999955,266.1007152999955,266.1007152999955,266.1007152999955,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Triangle_B_1.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SA1: TB2,SG: TR,0,30,30,258,NA,NA,NA,NA,NA,266.1007152999955,0.00186150000081397,266.83400039999106,266.9341229999991,0.8298018000059528,268.8673667999974,269.2674332999886,269.3696975999919,269.3696975999919,b,1,2.798855300003197,272.18386449999525,272.18386449999525,272.18386449999525,272.18386449999525,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Triangle_Triangle_B_8.png,Adam THINKS there are TWO cubes,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,2,B,PropFalse,TA2: TB3,TY:TO,0,31,31,191,NA,NA,NA,NA,NA,272.18386449999525,0.00188180000986903,272.9173299999966,273.01731499999005,0.8293918000126723,274.95054799999343,275.3506301999878,275.4530758999899,275.4530758999899,h,1,1.7624720000021623,277.23375609998766,277.23375609998766,277.23375609998766,277.23375609998766,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_Triangle_B_12.png,Adam KNOWS there are TWO cubes,b,h,TB-K-B,2,1,1,2,1,1,0,0,0,2,B,PropFalse,SB3: TA1,SB: TO,0,32,32,307,NA,NA,NA,NA,NA,277.23375609998766,5.2059999143239e-4,277.96700489999785,278.06714709999505,0.830822599993553,280.00047279999126,280.4005986999982,280.5027992999967,280.5027992999967,h,1,1.897867899999255,282.417222899996,282.417222899996,282.417222899996,282.417222899996,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Triangle_B_Square_4.png,Adam THINKS there are TWO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,2,B,PropFalse,SD3: TB1,SB: TO,0,33,33,215,NA,NA,NA,NA,NA,282.417222899996,0.00209989999711979,283.15053049998824,283.2507060999924,0.8291693999926792,285.18409129999054,285.58409779999056,285.6861159999971,285.6861159999971,h,1,1.5457878000015626,287.2506236999907,287.2506236999907,287.2506236999907,287.2506236999907,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Triangle_B_2.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,1,0,1,1,0,1,0,0,0,0,B,-,TB2,TO,0,34,34,19,NA,NA,NA,NA,NA,287.2506236999907,0.00218880000466015,287.9839581999986,288.08405539998785,0.829459799992037,290.01732299999276,290.4173879999871,290.5195742999931,290.5195742999931,b,1,1.5599772999994457,292.1006709999929,292.1006709999929,292.1006709999929,292.1006709999929,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_B_Square_6.png,"In REALITY, there are TWO cubes",h,b,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,-,SB3: SC1,SP: SG,0,35,35,47,NA,NA,NA,NA,NA,292.1006709999929,0.00196349999168887,292.83383109999704,292.9340538999968,0.8297225999995135,294.86743299999216,295.26735239999834,295.3695054999989,295.3695054999989,b,1,2.8458260000043083,298.2337727999984,298.2337727999984,298.2337727999984,298.2337727999984,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Square_B_Square_3.png,Adam THINKS there are ZERO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SA3: SD1,SP: SB,0,36,36,206,NA,NA,NA,NA,NA,298.2337727999984,5.0109998846892e-4,298.9672589999973,299.0673691999982,0.8312620999931823,301.00071729999036,301.40071219998936,301.50284469999315,301.50284469999315,h,1,9.681105199997546,311.2004356999969,311.2004356999969,311.2004356999969,311.2004356999969,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Triangle_Triangle_B_4.png,"In REALITY, there are ZERO cubes",h,b,TB-K-B,2,0,2,2,0,2,0,0,0,0,B,-,TA2: TB1,TY: TR,0,37,37,29,NA,NA,NA,NA,NA,311.2004356999969,6.7230001150164e-4,311.9336972999881,312.0340133999998,0.8311184000049252,313.9673643999995,314.36729319998994,314.4694223999977,314.4694223999977,b,1,1.6824444999947443,316.18360329999996,316.18360329999996,316.18360329999996,316.18360329999996,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Triangle_Triangle_B_8.png,Adam KNOWS there are ZERO cubes,h,b,TB-Ig,2,0,2,2,0,2,0,0,0,0,B,-,TA2: TB3,TY:TO,0,38,38,241,NA,NA,NA,NA,NA,316.18360329999996,4.8120001156348e-4,316.9171426999965,317.017336799996,0.8314146000047913,318.9504864999908,319.3506326999923,319.45265089999884,319.45265089999884,b,1,5.043164500006242,324.5170317999873,324.5170317999873,324.5170317999873,324.5170317999873,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Triangle_NB_3.png,Adam KNOWS there are TWO cubes,b,h,TB-K,1,0,1,1,0,1,0,0,0,2,NB,PropFalse,TB2,TR,0,39,39,272,NA,NA,NA,NA,NA,324.5170317999873,0.00210329999390523,325.2504959999933,325.35061029999633,0.8295337000017753,327.2839546999894,327.68392649998714,327.78616219999094,327.78616219999094,h,1,2.156932300000335,329.96716089999245,329.96716089999245,329.96716089999245,329.96716089999245,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_Square_NB_5.png,Adam KNOWS there is ONE cube,b,h,TB-K,2,2,0,2,2,0,0,0,0,1,NB,PropFalse,SA3: SB2,SB: SP,0,40,40,286,NA,NA,NA,NA,NA,329.96716089999245,4.9849999777507e-4,330.7003582999896,330.8004007999989,0.8307219999987865,332.7337620999897,333.133788799998,333.23604809999233,333.23604809999233,h,1,1.395104800001718,334.6501980999892,334.6501980999892,334.6501980999892,334.6501980999892,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Square_Square_B_7.png,Adam THINKS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA1: SB2,SG: SP,0,41,41,140,NA,NA,NA,NA,NA,334.6501980999892,4.9940000462811e-4,335.38374159998784,335.48364729998866,0.8311658000020543,337.4170247000002,337.8171583999938,337.91932599998836,337.91932599998836,b,1,3.632489899988286,341.56684929999756,341.56684929999756,341.56684929999756,341.56684929999756,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Square_NB_3.png,Adam THINKS there are TWO cubes,b,h,TB-K,1,1,0,1,1,0,0,0,0,2,NB,PropFalse,SB2,SG,0,42,42,167,NA,NA,NA,NA,NA,341.56684929999756,4.9389999185223e-4,342.30012390000047,342.4002887999959,0.8307955999916885,344.3337593999895,344.73370449998765,344.8369840999949,344.8369840999949,h,1,1.594680000009248,346.45032259999425,346.45032259999425,346.45032259999425,346.45032259999425,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_B_1.png,"In REALITY, there are ZERO cubes",b,h,TB-Ig,1,1,0,1,1,0,0,0,0,0,B,PropFalse,SA2,SG,0,43,43,74,NA,NA,NA,NA,NA,346.45032259999425,0.00140410001040436,347.18377849999524,347.2837198999914,0.8300453999981983,349.2171279999893,349.6172096999944,349.7193277999904,349.7193277999904,h,1,1.1603456000011647,350.9005438999884,350.9005438999884,350.9005438999884,350.9005438999884,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_Triangle_NB_1.png,Adam KNOWS there are ZERO cubes,b,h,TB-K,2,1,1,2,1,1,0,0,0,0,NB,PropFalse,SA2: TB1,SG: TR,0,44,44,279,NA,NA,NA,NA,NA,350.9005438999884,0.00212670001201331,351.6337621999992,351.7338066999946,0.829324300008011,353.6672166999924,354.06707489999826,354.1693194999971,354.1693194999971,h,1,2.2309545000025537,356.4170788999909,356.4170788999909,356.4170788999909,356.4170788999909,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Square_B_Square_3.png,Adam THINKS there is ONE cube,h,b,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,-,SA3: SD1,SP: SB,0,45,45,152,NA,NA,NA,NA,NA,356.4170788999909,0.00122530000226106,357.1502604999987,357.2505473999918,0.8302931999933207,359.18384539999533,359.58380219999526,359.6858135999937,359.6858135999937,b,1,7.66683170000033,367.3837485999975,367.3837485999975,367.3837485999975,367.3837485999975,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Square_NB_2.png,Adam THINKS there is ONE cube,h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SA3,SP,0,46,46,112,NA,NA,NA,NA,NA,367.3837485999975,0.00222289998782798,368.1168910999986,368.2171352999867,0.8293699999921955,370.1504003999871,370.5504516999936,370.6526646999991,370.6526646999991,b,1,2.2835408999962965,372.96699319999607,372.96699319999607,372.96699319999607,372.96699319999607,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Triangle_B_Square_4.png,"In REALITY, there is ONE cube",h,b,FB-Ig,2,1,1,1,0,1,1,1,0,1,B,-,SD3: TB1,SB: TO,0,47,47,53,NA,NA,NA,NA,NA,372.96699319999607,0.00193889999354723,373.7003562999889,373.8003100999922,0.8296002999995835,375.73365089998697,376.13377539999783,376.2359531999973,376.2359531999973,b,1,1.7645484999957262,378.0171045999886,378.0171045999886,378.0171045999886,378.0171045999886,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_B_Triangle_1.png,Adam KNOWS there is ONE cube,b,h,TB-Ig,2,1,1,1,1,0,1,0,1,1,B,PropTrueNoKnowledge,SB1: TD3,SB: TO,0,48,48,294,NA,NA,NA,NA,NA,378.0171045999886,0.00199119999888353,378.7503249000001,378.85014889999,0.828698199999053,380.7837959999888,381.183761399996,381.28585909999674,381.28585909999674,h,1,10.665939400001662,391.96688029999495,391.96688029999495,391.96688029999495,391.96688029999495,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Square_Square_B_1.png,"In REALITY, there are ZERO cubes",b,h,TB-K-B,2,2,0,2,2,0,0,0,0,0,B,PropFalse,SA1: SB2,SP: SG,0,49,49,84,NA,NA,NA,NA,NA,391.96688029999495,4.4930000149179e-4,392.70030289998977,392.800245499995,0.8310927999991691,394.73375349999696,395.1337375000003,395.235912499993,395.235912499993,h,1,1.4597825999953784,396.7169517000002,396.7169517000002,396.7169517000002,396.7169517000002,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Square_NB_1.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA1: SB2,SP: SB,0,50,50,228,NA,NA,NA,NA,NA,396.7169517000002,0.00186229999235365,397.4502888999996,397.55040689998714,0.8296334999904502,399.5001301999873,399.90041969998856,400.0025342000008,400.0025342000008,b,1,2.021336399993743,402.050035799999,402.050035799999,402.050035799999,402.050035799999,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_B_Triangle_2.png,"In REALITY, there is ONE cube",h,b,TB-Ig,2,1,1,1,1,0,1,0,1,1,B,-,SD3: TD2,SP: TY,0,51,51,25,NA,NA,NA,NA,NA,402.050035799999,0.00187930000538472,402.7835329999943,402.8837009999989,0.8294260000111535,404.81688759999815,405.217058299997,405.3192185999942,405.3192185999942,b,1,5.864411000002292,411.20015809999313,411.20015809999313,411.20015809999313,411.20015809999313,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityN,ExpTrialStim/Triangle_B_Square_4.png,"In REALITY, there are TWO cubes",b,h,FB-Ig,2,1,1,1,0,1,1,1,0,2,B,PropFalse,SD3: TB1,SB: TO,0,52,52,107,NA,NA,NA,NA,NA,411.20015809999313,5.4790001013316e-4,411.9335584999935,412.0336657000007,0.8310920000076294,413.96702039999946,414.367004899992,414.4690980999876,414.4690980999876,h,1,4.058476799997152,418.55020030000014,418.55020030000014,418.55020030000014,418.55020030000014,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_B_Square_6.png,Adam KNOWS there are TWO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,PropTrueNoKnowledge,SB3: SC1,SP: SG,0,53,53,317,NA,NA,NA,NA,NA,418.55020030000014,0.00160549998690839,419.28336399998807,419.3834644999879,0.8296976999990875,421.31695089999994,421.7169290999882,421.8191613999952,421.8191613999952,h,1,2.3331741000001784,424.18365859999903,424.18365859999903,424.18365859999903,424.18365859999903,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_NB_3.png,Adam KNOWS there are TWO cubes,b,h,TB-K,1,1,0,1,1,0,0,0,0,2,NB,PropFalse,SB2,SG,0,54,54,275,NA,NA,NA,NA,NA,424.18365859999903,0.00180729999556206,424.9168890000001,425.0169426999928,0.8295349999971222,426.9502972999908,427.3501405999996,427.4524483999994,427.4524483999994,h,1,1.531111400006921,429.00006759999087,429.00006759999087,429.00006759999087,429.00006759999087,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
