Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,participant,session,date,expName,psychopyVersion,frameRate
BeliefN,ExpTrialStim/Square_Square_B_7.png,Adam THINKS there are ZERO cubes,b,h,TB-K-B,2,2,0,2,2,0,0,0,0,0,B,PropFalse,SA1: SB2,SG: SP,0,312,312,194,NA,NA,NA,NA,NA,2138.394967299988,0.00164719999884255,2139.1282311999967,2139.2283647000004,0.8290903000015533,2141.161638299993,2141.5616257999936,2141.663788699996,2141.663788699996,h,1,0.9702314000023762,2142.6613027999992,2142.6613027999992,2142.6613027999992,2142.6613027999992,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Square_B_8.png,Adam KNOWS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA2: SB3,SP: SB,0,313,313,253,NA,NA,NA,NA,NA,2142.6613027999992,3.7460000021383e-4,2143.3947656999953,2143.495006499986,0.8313773999980185,2145.428218199988,2145.828297100001,2145.930436799986,2145.930436799986,b,1,1.1599317000072915,2147.111546299988,2147.111546299988,2147.111546299988,2147.111546299988,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_NB_3.png,"In REALITY, there is ONE cube",h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SB2,SG,0,314,314,5,NA,NA,NA,NA,NA,2147.111546299988,0.00150280000525526,2147.844637199989,2147.9449857,0.8298396000027424,2149.894748199993,2150.2948073000007,2150.3969263999898,2150.3969263999898,b,1,0.8050502999976743,2151.227905099993,2151.227905099993,2151.227905099993,2151.227905099993,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Square_Square_NB_3.png,Adam THINKS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA3: SB1,SG: SP,0,315,315,122,NA,NA,NA,NA,NA,2151.227905099993,3.8399999903049e-4,2151.9615389999963,2152.06164059999,0.8313844999938738,2153.995000099996,2154.394985699997,2154.4970733999944,2154.4970733999944,b,1,1.4573428000003332,2155.978270899999,2155.978270899999,2155.978270899999,2155.978270899999,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefN,ExpTrialStim/Triangle_B_Square_1.png,Adam THINKS there is ONE cube,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,1,B,PropTrueNoBelief,SC1: TA1,SB: TO,0,316,316,212,NA,NA,NA,NA,NA,2155.978270899999,0.00163720001000911,2156.711411799988,2156.811692999996,0.8295613000082085,2158.7449979999947,2159.1448218999867,2159.2469794999924,2159.2469794999924,h,1,1.8674556000041775,2161.1448963999865,2161.1448963999865,2161.1448963999865,2161.1448963999865,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
RealityY,ExpTrialStim/Square_B_Square_1.png,"In REALITY, there are TWO cubes",h,b,FB-Ig,2,2,0,1,1,0,1,1,0,2,B,-,SA1: SC2,SG: SB,0,317,317,42,NA,NA,NA,NA,NA,2161.1448963999865,0.0017115999944508,2161.8781648999866,2161.9781411999866,0.8292355000012321,2163.9115583999956,2164.3115961999865,2164.4136949999956,2164.4136949999956,b,1,1.6203450000029989,2166.0614634999947,2166.0614634999947,2166.0614634999947,2166.0614634999947,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Triangle_B_8.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SA2: TB1,SP: TY,0,318,318,265,NA,NA,NA,NA,NA,2166.0614634999947,9.0640000416897e-4,2166.7947701999947,2166.8949226999976,0.830620299995644,2168.8282914999872,2169.228106399998,2169.3304324999917,2169.3304324999917,b,1,6.279672300006496,2175.6280430999905,2175.6280430999905,2175.6280430999905,2175.6280430999905,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_NB_2.png,Adam KNOWS there are TWO cubes,b,h,TB-K,1,1,0,1,1,0,0,0,0,2,NB,PropFalse,SA3,SP,0,319,319,274,NA,NA,NA,NA,NA,2175.6280430999905,4.0220000664703e-4,2176.36144909999,2176.4615793999983,0.8312529000104405,2178.394944799991,2178.7947493999964,2178.8969849999994,2178.8969849999994,h,1,1.6818874000018695,2180.59485899999,2180.59485899999,2180.59485899999,2180.59485899999,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeY,ExpTrialStim/Square_Triangle_B_2.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SA2: TB3,SB: TO,0,320,320,259,NA,NA,NA,NA,NA,2180.59485899999,0.00165899998683016,2181.328153299997,2181.4282037999947,0.829375399989658,2183.361563499988,2183.7615812999866,2183.8636155999993,2183.8636155999993,b,1,3.4747397000028286,2187.3614709999965,2187.3614709999965,2187.3614709999965,2187.3614709999965,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
KnowledgeN,ExpTrialStim/Square_NB_1.png,Adam KNOWS there are ZERO cubes,b,h,TB-K,1,1,0,1,1,0,0,0,0,0,NB,PropFalse,SA1,SB,0,321,321,273,NA,NA,NA,NA,NA,2187.3614709999965,0.00178750000486616,2188.0947555999883,2188.194659899993,0.8295089000021107,2190.1281160999933,2190.5281216000003,2190.630373799999,2190.630373799999,h,1,2.2839253999991342,2192.9448520999867,2192.9448520999867,2192.9448520999867,2192.9448520999867,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Square_B_Square_7.png,Adam THINKS there is ONE cube,h,b,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,-,SA3: SC2,SG: SP,0,322,322,156,NA,NA,NA,NA,NA,2192.9448520999867,0.00167049998708534,2193.6781020999915,2193.7781916999957,0.8293734999897424,2195.7113431999896,2196.111415799998,2196.213617799993,2196.213617799993,b,1,3.3565804999961983,2199.594777399994,2199.594777399994,2199.594777399994,2199.594777399994,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
BeliefY,ExpTrialStim/Square_Square_B_3.png,Adam THINKS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB1,SG: SB,0,323,323,136,NA,NA,NA,NA,NA,2199.594777399994,0.00162719999207183,2200.3280528999894,2200.427957299995,0.8293238999904133,2202.3615606999956,2202.761261199994,2202.8636291999865,2202.8636291999865,b,1,1.554671000005328,2204.4447374999872,2204.4447374999872,2204.4447374999872,2204.4447374999872,NA,NA,NA,NA,012,001,2024-02-08_15h58.42.433,PsychoPy Exp,2023.1.2,60.01442746468815
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2204.4447374999872,2205.444872499997,NA,NA,NA,NA,NA,NA
