Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.977219399996105,27.945922999992035,27.945922999992035,space,9.142697799950838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
BeliefY,ExpTrialStim/Square_B_Square_4.png,Adam THINKS there is ONE cube,h,b,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,-,SB1: SD2,SG: SP,0,0,0,153,NA,NA,NA,NA,NA,37.254856499959715,0.1545985999982804,37.99516639998183,38.09528019989375,0.9822619000915438,40.028610899928026,40.42860220000148,40.55519829993136,40.55519829993136,h,1,1.1258995999814942,41.71168429998215,41.71168429998215,41.71168429998215,41.71168429998215,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
BeliefN,ExpTrialStim/Square_Triangle_NB_2.png,Adam THINKS there are ZERO cubes,b,h,TB-K,2,1,1,2,1,1,0,0,0,0,NB,PropFalse,SB1: TB3,SB: TO,0,1,1,172,NA,NA,NA,NA,NA,41.71168429998215,4.0559994522482e-4,42.4451098999707,42.54528510000091,0.8308020000113174,44.47863179992419,44.87858699995559,44.98081269999966,44.98081269999966,b,1,0.8438127000117674,45.84511140000541,45.84511140000541,45.84511140000541,45.84511140000541,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
KnowledgeY,ExpTrialStim/Square_Square_NB_5.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA3: SB2,SB: SP,0,2,2,232,NA,NA,NA,NA,NA,45.84511140000541,0.0013349000364542,46.57845239993185,46.67866019997746,0.8301284000044689,48.61195199994836,49.011915599927306,49.113978699897416,49.113978699897416,h,1,0.7345579999964684,49.87846889998764,49.87846889998764,49.87846889998764,49.87846889998764,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
BeliefN,ExpTrialStim/Triangle_Triangle_B_6.png,Adam THINKS there is ONE cube,b,h,TB-K-B,2,0,2,2,0,2,0,0,0,1,B,PropFalse,TA1: TB3,TO: TY,0,3,3,189,NA,NA,NA,NA,NA,49.87846889998764,3.8740003947168e-4,50.61174119997304,50.71189599996433,0.8312096999725327,52.64525820000563,53.04522829991765,53.147526199929416,53.147526199929416,b,1,1.3729742999421433,54.54497909999918,54.54497909999918,54.54497909999918,54.54497909999918,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
RealityN,ExpTrialStim/Triangle_Triangle_B_2.png,"In REALITY, there is ONE cube",b,h,TB-K-B,2,0,2,2,0,2,0,0,0,1,B,PropFalse,TA2: TB3,TO: TR,0,4,4,81,NA,NA,NA,NA,NA,54.54497909999918,3.7760008126497e-4,55.27846269996371,55.37840659997891,0.8311937000835314,57.31170639989432,57.71187729993835,57.81418899993878,57.81418899993878,b,1,0.626727299997583,58.46175769995898,58.46175769995898,58.46175769995898,58.46175769995898,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
BeliefN,ExpTrialStim/Square_B_Square_1.png,Adam THINKS there are ZERO cubes,b,h,FB-Ig,2,2,0,1,1,0,1,1,0,0,B,PropFalse,SA1: SC2,SG: SB,0,5,5,204,NA,NA,NA,NA,NA,58.46175769995898,0.00178220006637275,59.19498379994184,59.29526729998179,0.8294586000265554,61.228638599975966,61.62855329993181,61.7308407999808,61.7308407999808,b,1,1.5180068000918254,63.278475399944,63.278475399944,63.278475399944,63.278475399944,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
BeliefY,ExpTrialStim/Square_B_1.png,Adam THINKS there is ONE cube,h,b,TB-Ig,1,1,0,1,1,0,0,0,0,1,B,-,SA2,SG,0,6,6,128,NA,NA,NA,NA,NA,63.278475399944,0.00168340001255273,64.0117546999827,64.11187299992889,0.829105900018476,66.04506029991899,66.44520829990506,66.54744919994846,66.54744919994846,h,1,0.7252908999798819,67.29517119994853,67.29517119994853,67.29517119994853,67.29517119994853,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
KnowledgeY,ExpTrialStim/Square_Triangle_B_6.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB3: TA2,SB: TO,0,7,7,263,NA,NA,NA,NA,NA,67.29517119994853,0.00167839997448027,68.02837999991607,68.128371699946,0.8293776999926195,70.06186939997133,70.4618357999716,70.56401619990356,70.56401619990356,h,1,1.8607977000065148,72.44504139991477,72.44504139991477,72.44504139991477,72.44504139991477,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
RealityN,ExpTrialStim/Square_B_Square_6.png,"In REALITY, there is ONE cube",b,h,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,PropFalse,SB3: SC1,SP: SG,0,8,8,101,NA,NA,NA,NA,NA,72.44504139991477,0.00168789993040263,73.17840539989993,73.27848619990982,0.8293229999253526,75.21158139989711,75.61157119995914,75.71399869991001,75.71399869991001,b,1,1.6309913999866694,77.3616333999671,77.3616333999671,77.3616333999671,77.3616333999671,NA,NA,NA,NA,NA,NA,033,001,2024-02-16_09h39.34.458,PsychoPy Exp,2023.1.2,59.99548837476415
