Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.97208690000116,30.95337030000519,30.95337030000519,space,8.964428000006592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
KnowledgeN,ExpTrialStim/Triangle_NB_1.png,Adam KNOWS there is ONE cube,b,h,TB-K,1,0,1,1,0,1,0,0,0,1,NB,PropFalse,TA1,TO,0,0,0,270,NA,NA,NA,NA,NA,40.09166079998249,0.1669359999941662,40.83598730000085,40.93615160000627,0.9984949999779928,42.86925640000845,43.26947559998371,43.41339479997987,43.41339479997987,b,1,0.728276600013487,44.16937769998913,44.16937769998913,44.16937769998913,44.16937769998913,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
KnowledgeY,ExpTrialStim/Triangle_Triangle_B_7.png,Adam KNOWS there are ZERO cubes,h,b,TB-Ig,2,0,2,2,0,2,0,0,0,0,B,-,TA1: TB2,TR: TY,0,1,1,240,NA,NA,NA,NA,NA,44.16937769998913,0.00169590002042241,44.90266729998984,45.00279410000075,0.8281049000215717,46.936132100003306,47.336087799980305,47.4382040000055,47.4382040000055,h,1,0.5594391000049654,48.019278799998574,48.019278799998574,48.019278799998574,48.019278799998574,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
KnowledgeN,ExpTrialStim/Triangle_B_Square_3.png,Adam KNOWS there is ONE cube,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,1,B,PropTrueNoKnowledge,SD1: TA2,SG: TR,0,2,2,322,NA,NA,NA,NA,NA,48.019278799998574,0.00168619997566565,48.75258450000547,48.852762900001835,0.8296101999876555,50.78608150000218,51.18607530000736,51.288148999999976,51.288148999999976,b,1,0.941448199999286,52.25270189999719,52.25270189999719,52.25270189999719,52.25270189999719,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
RealityN,ExpTrialStim/Triangle_NB_3.png,"In REALITY, there are TWO cubes",b,h,TB-K,1,0,1,1,0,1,0,0,0,2,NB,PropFalse,TB2,TR,0,3,3,56,NA,NA,NA,NA,NA,52.25270189999719,0.00169780000578612,52.985976500000106,53.08611020000535,0.8296170000103302,55.019394500006456,55.41946979999193,55.521618900005706,55.521618900005706,b,1,0.6200049000035506,56.169369499984896,56.169369499984896,56.169369499984896,56.169369499984896,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
BeliefY,ExpTrialStim/Triangle_B_Square_3.png,Adam THINKS there are ZERO cubes,h,b,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,-,SD1: TA2,SG: TR,0,4,4,160,NA,NA,NA,NA,NA,56.169369499984896,0.00172000000020489,56.90265309999813,57.0027768999862,0.8299485999741592,58.93608620000305,59.33588759999839,59.43819990000338,59.43819990000338,h,1,2.015299300022889,61.46920419999515,61.46920419999515,61.46920419999515,61.46920419999515,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
KnowledgeN,ExpTrialStim/Triangle_B_Square_1.png,Adam KNOWS there are ZERO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,PropFalse,SC1: TA1,SB: TO,0,5,5,320,NA,NA,NA,NA,NA,61.46920419999515,4.9050000961869e-4,62.20263660000637,62.30256759998156,0.830822200019611,64.23606870000367,64.63585469999816,64.73807729998953,64.73807729998953,b,1,1.0035351999977138,65.7693433999957,65.7693433999957,65.7693433999957,65.7693433999957,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
RealityN,ExpTrialStim/Triangle_Triangle_B_2.png,"In REALITY, there is ONE cube",b,h,TB-K-B,2,0,2,2,0,2,0,0,0,1,B,PropFalse,TA2: TB3,TO: TR,0,6,6,81,NA,NA,NA,NA,NA,65.7693433999957,0.00172909998218528,66.50264570000581,66.60251729999436,0.829497500002617,68.53588320000563,68.93601449998096,69.03799609999987,69.03799609999987,b,1,1.2647569999971893,70.31930730000022,70.31930730000022,70.31930730000022,70.31930730000022,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
BeliefN,ExpTrialStim/Triangle_B_1.png,Adam THINKS there is ONE cube,b,h,TB-Ig,1,0,1,1,0,1,0,0,0,1,B,PropFalse,TA2,TR,0,7,7,180,NA,NA,NA,NA,NA,70.31930730000022,0.00170670001534745,71.05257729999721,71.15273790000356,0.8293479999992996,73.08601269999053,73.4858217999863,73.58810659998562,73.58810659998562,b,1,1.0659680000098888,74.6859690999845,74.6859690999845,74.6859690999845,74.6859690999845,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
BeliefN,ExpTrialStim/Triangle_NB_3.png,Adam THINKS there are TWO cubes,b,h,TB-K,1,0,1,1,0,1,0,0,0,2,NB,PropFalse,TB2,TR,0,8,8,164,NA,NA,NA,NA,NA,74.6859690999845,0.00170039999647997,75.41922270000214,75.5192543999874,0.829444400005741,77.45268479999504,77.85258039998007,77.95461699998123,77.95461699998123,b,1,0.586958899977617,78.56925979998778,78.56925979998778,78.56925979998778,78.56925979998778,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
BeliefY,ExpTrialStim/Square_Square_B_4.png,Adam THINKS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA2: SB1,SG: SP,0,9,9,137,NA,NA,NA,NA,NA,78.56925979998778,0.00171320000663399,79.30250069999602,79.40263669998967,0.8295002999948338,81.33584139999584,81.73583489999874,81.83802239998477,81.83802239998477,h,1,0.5035859000054188,82.36903589998838,82.36903589998838,82.36903589998838,82.36903589998838,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
RealityY,ExpTrialStim/B_Square_2.png,"In REALITY, there is ONE cube",h,b,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,-,SC3,SG,0,10,10,39,NA,NA,NA,NA,NA,82.36903589998838,4.1659999988041e-4,83.10255260000122,83.2026773999969,0.8313637000101153,85.13578650000272,85.53592110000318,85.63828899999498,85.63828899999498,h,1,0.6791240999882575,86.33591649998561,86.33591649998561,86.33591649998561,86.33591649998561,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
KnowledgeY,ExpTrialStim/Triangle_Triangle_NB_1.png,Adam KNOWS there are ZERO cubes,h,b,TB-K,2,0,2,2,0,2,0,0,0,0,NB,-,TA1: TB2,TY: TO,0,11,11,222,NA,NA,NA,NA,NA,86.33591649998561,0.00183090000064112,87.06913950000308,87.16929619997973,0.8294686000153888,89.10260670000571,89.50262789998669,89.60485179998796,89.60485179998796,b,0,0.7762741000042297,90.40231929998843,90.40231929998843,90.40231929998843,90.40231929998843,NA,NA,NA,NA,NA,NA,NA,009,001,2024-02-07_17h10.24.811,PsychoPy Exp,2023.1.2,59.99484044284826
