Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.519738200004213,14.509436100022867,14.509436100022867,space,56.92289039993193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
BeliefY,ExpTrialStim/Triangle_NB_3.png,Adam THINKS there are ZERO cubes,h,b,TB-K,1,0,1,1,0,1,0,0,0,0,NB,-,TB2,TR,0,0,0,110,NA,NA,NA,NA,NA,71.60326040000655,0.1549360000062734,72.35956469993107,72.45982829993591,1.0004837999586016,74.40927419997752,74.80907720001414,74.94055489997845,74.94055489997845,b,1,5.147599200019613,80.10911800002214,80.10911800002214,80.10911800002214,80.10911800002214,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
RealityY,ExpTrialStim/Triangle_B_Square_1.png,"In REALITY, there is ONE cube",h,b,FB-Ig,2,1,1,1,0,1,1,1,0,1,B,-,SC1: TA1,SB: TO,0,1,1,50,NA,NA,NA,NA,NA,80.10911800002214,6.9919996894896e-4,80.85925659991335,80.95926159992814,0.8489504000172019,82.9261832999764,83.32573889999185,83.42535339994356,83.42535339994356,b,1,1.9352913999464365,85.39254229993094,85.39254229993094,85.39254229993094,85.39254229993094,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
BeliefN,ExpTrialStim/B_Square_3.png,Adam THINKS there is ONE cube,b,h,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,PropTrueNoBelief,SD1,SP,0,2,2,202,NA,NA,NA,NA,NA,85.39254229993094,6.95800059475e-4,86.1430075999815,86.24292619992048,0.8497488000430167,88.19207390001975,88.59245959995314,88.69221549993381,88.69221549993381,h,1,1.252124199992977,89.97578799992334,89.97578799992334,89.97578799992334,89.97578799992334,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
KnowledgeN,ExpTrialStim/Triangle_B_2.png,Adam KNOWS there are ZERO cubes,b,h,TB-Ig,1,0,1,1,0,1,0,0,0,0,B,PropTrueNoKnowledge,TB2,TO,0,3,3,289,NA,NA,NA,NA,NA,89.97578799992334,6.7890004720538e-4,90.72613660001662,90.82611849997193,0.8498232000274584,92.77581149991602,93.17586600000504,93.27564359991813,93.27564359991813,h,1,3.4688487000530586,96.77565079997294,96.77565079997294,96.77565079997294,96.77565079997294,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
KnowledgeY,ExpTrialStim/Square_Triangle_B_4.png,Adam KNOWS there is ONE cube,h,b,FB-Ig,2,1,1,2,1,1,0,0,0,1,B,-,SB1: TA3,SP: TY,0,4,4,261,NA,NA,NA,NA,NA,96.77565079997294,5.9179996605962e-4,97.52642010001,97.62498089997098,0.8501965999603271,99.575065299985,99.975583499996,100.07579679996708,100.07579679996708,b,1,4.452337099937722,104.55903110001236,104.55903110001236,104.55903110001236,104.55903110001236,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
RealityY,ExpTrialStim/Triangle_B_1.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,1,0,1,1,0,1,0,0,0,0,B,-,TA2,TR,0,5,5,18,NA,NA,NA,NA,NA,104.55903110001236,7.6099997386336e-4,105.30943469994236,105.40942389995324,0.8494358999887481,107.3586297999136,107.75914410001133,107.85873269999864,107.85873269999864,b,1,1.7414432000368834,109.62596209999174,109.62596209999174,109.62596209999174,109.62596209999174,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
KnowledgeN,ExpTrialStim/Triangle_B_Square_2.png,Adam KNOWS there are ZERO cubes,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,0,B,PropFalse,SC3: TB3,SP: TY,0,6,6,321,NA,NA,NA,NA,NA,109.62596209999174,8.3069992251694e-4,110.37626599997748,110.47646669996902,0.84973729995545,112.42588200001046,112.82553479995111,112.92545839992816,112.92545839992816,h,1,2.226681200088933,115.1760026999982,115.1760026999982,115.1760026999982,115.1760026999982,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
BeliefN,ExpTrialStim/Triangle_B_Square_3.png,Adam THINKS there is ONE cube,b,h,FB-Ig,2,1,1,1,0,1,1,1,0,1,B,PropTrueNoBelief,SD1: TA2,SG: TR,0,7,7,214,NA,NA,NA,NA,NA,115.1760026999982,8.3969999104738e-4,115.926037899917,116.02618279994932,0.8495305000105873,117.97582399996465,118.37505139992572,118.47507159993984,118.47507159993984,h,1,4.773375099990517,123.27635299996471,123.27635299996471,123.27635299996471,123.27635299996471,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
KnowledgeY,ExpTrialStim/Square_Square_B_3.png,Adam KNOWS there are TWO cubes,h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB1,SG: SB,0,8,8,248,NA,NA,NA,NA,NA,123.27635299996471,0.00100719998590648,124.0256919999374,124.12554289994296,0.8485327999806032,126.07574979995844,126.47571629995946,126.57554260001052,126.57554260001052,b,1,1.8405635999515653,128.44250899995677,128.44250899995677,128.44250899995677,128.44250899995677,NA,NA,NA,NA,NA,NA,036,001,2024-02-28_11h03.34.554,PsychoPy Exp,2023.1.2,60.030279279799835
