Condition,Stimulus,Statement,CorAnsOdd,CorAnsEven,TypeOfStimuli,TotalShapesOnTable,TotalcubesOnTable,TotalOtherOnTable,VisibleShapes,Visiblecubes,VisibleOther,NotVisibleShapes,NotVisiblecubes,NotVisibleOther,NumOfBlocksAsked,BarrierPresent,WhyNo,Position,Colour,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpPrimerText.started,ExpTextISI.started,ExpPrimerText.stopped,ExpText.started,ExpImageISI.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.27669510000851,18.249988700001268,18.249988700001268,space,26.77670609999041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
RealityY,ExpTrialStim/Triangle_B_2.png,"In REALITY, there are ZERO cubes",h,b,TB-Ig,1,0,1,1,0,1,0,0,0,0,B,-,TB2,TO,0,0,0,19,NA,NA,NA,NA,NA,45.19755680000526,0.15980400000989903,45.94907430000603,46.04918099999486,0.99845080000523,47.98236540000653,48.38234480000392,48.50849890000245,48.50849890000245,h,0,2.846112799990806,51.38234860000375,51.38234860000375,51.38234860000375,51.38234860000375,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
BeliefN,ExpTrialStim/Square_NB_3.png,Adam THINKS there are TWO cubes,b,h,TB-K,1,1,0,1,1,0,0,0,0,2,NB,PropFalse,SB2,SG,0,1,1,167,NA,NA,NA,NA,NA,51.38234860000375,0.00199640000937506,52.132370499995886,52.23231439999654,0.844592699999339,54.16584159999911,54.5656433999975,54.668030600005295,54.668030600005295,h,1,1.254480799994781,55.948923300005845,55.948923300005845,55.948923300005845,55.948923300005845,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
RealityN,ExpTrialStim/Square_Triangle_B_1.png,"In REALITY, there are ZERO cubes",b,h,TB-K-B,2,1,1,2,1,1,0,0,0,0,B,PropFalse,SA1: TB2,SG: TR,0,2,2,88,NA,NA,NA,NA,NA,55.948923300005845,7.255999953486e-4,56.68234860000666,56.78248850000091,0.831254299991997,58.71586620000016,59.11582200000703,59.217930500002694,59.217930500002694,h,1,5.352624799998011,64.59898429999885,64.59898429999885,64.59898429999885,64.59898429999885,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
RealityY,ExpTrialStim/Square_Square_B_3.png,"In REALITY, there are TWO cubes",h,b,TB-K-B,2,2,0,2,2,0,0,0,0,2,B,-,SA3: SB1,SG: SB,0,3,3,36,NA,NA,NA,NA,NA,64.59898429999885,0.00178890000097453,65.33230840000033,65.43243139999686,0.8298362999921665,67.36569190000591,67.7656610999984,67.86789560000761,67.86789560000761,b,1,1.134693600004539,69.03235560000758,69.03235560000758,69.03235560000758,69.03235560000758,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
BeliefY,ExpTrialStim/Square_B_Square_6.png,Adam THINKS there is ONE cube,h,b,FB-Ig,2,2,0,1,1,0,1,1,0,1,B,-,SB3: SC1,SP: SG,0,4,4,155,NA,NA,NA,NA,NA,69.03235560000758,0.00199109999812208,69.76550160000625,69.8658138000028,0.8295171999925515,71.79907970000932,72.19894669999485,72.30121420000796,72.30121420000796,b,1,1.9173836999980267,74.24887199999648,74.24887199999648,74.24887199999648,74.24887199999648,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
RealityY,ExpTrialStim/B_Square_3.png,"In REALITY, there is ONE cube",h,b,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,-,SD1,SP,0,5,5,40,NA,NA,NA,NA,NA,74.24887199999648,0.00201199999719392,74.98210940000718,75.0822465000092,0.8295871000009356,77.01570620000712,77.4157608999958,77.51788980000129,77.51788980000129,b,1,2.020296300004702,79.56556499999715,79.56556499999715,79.56556499999715,79.56556499999715,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
BeliefN,ExpTrialStim/B_Square_1.png,Adam THINKS there is ONE cube,b,h,FB-Ig,1,1,0,0,0,0,1,1,0,1,B,PropTrueNoBelief,SC2,SG,0,6,6,200,NA,NA,NA,NA,NA,79.56556499999715,7.9700000060256e-4,80.2989721000049,80.39891910000006,0.8309426000050735,82.3324244999967,82.73233329999493,82.83443719999923,82.83443719999923,h,1,1.4881849999947008,84.34902019999572,84.34902019999572,84.34902019999572,84.34902019999572,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
KnowledgeY,ExpTrialStim/Square_Square_NB_6.png,Adam KNOWS there are TWO cubes,h,b,TB-K,2,2,0,2,2,0,0,0,0,2,NB,-,SA1: SB3,SG: SB,0,7,7,233,NA,NA,NA,NA,NA,84.34902019999572,0.00201209999795537,85.08214579999913,85.18225490000623,0.8295577999961097,87.11570199999551,87.5157104999962,87.61777280000388,87.61777280000388,b,1,1.1444759000005431,88.7822157000046,88.7822157000046,88.7822157000046,88.7822157000046,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
RealityY,ExpTrialStim/Square_NB_3.png,"In REALITY, there is ONE cube",h,b,TB-K,1,1,0,1,1,0,0,0,0,1,NB,-,SB2,SG,0,8,8,5,NA,NA,NA,NA,NA,88.7822157000046,9.1429999156389e-4,89.5155861999956,89.61569610000879,0.8307970000023488,91.54906889999984,91.94899689999876,92.05105199999524,92.05105199999524,b,1,1.1514910000114469,93.232245399995,93.232245399995,93.232245399995,93.232245399995,NA,NA,NA,NA,NA,NA,016,001,2024-02-09_13h31.54.445,PsychoPy Exp,2023.1.2,60.28050931763472
