Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00306509993970394,0.02519159996882081,1.9954190999269483,1.9954190999269483,16.53704490000382,space,14.530469599878415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Reality,Reg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_5.png,"In REALITY, there are TWO cubes",Two,h,b,N,-,N,0,0,0,193,16.65552800009027,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.65229170001112,0.11526870005764069,16.731191999977455,17.11127580003813,17.211331099970266,19.211558599956337,19.611516200006008,19.73545440007001,19.73545440007001,23.364659799961373,b,1,3.621700399788097,NA,23.3663741000928,23.378069499973208,23.378069499973208,23.378069499973208,23.378069499973208,23.36708280001767,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Belief,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_2.png,Adam does NOT THINK there is ONE cube,One,b,h,Y,PropFalse,N,0,1,1,49,23.378069499973208,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3682047999464,4.4939992949366e-4,23.451655500102788,23.82793439994566,23.928022400010377,25.92817110009491,26.32815740001388,26.43007729994133,26.43007729994133,30.030788799980655,h,1,3.5915387999266386,NA,30.031356600113213,30.044737400021404,30.044737400021404,30.044737400021404,30.044737400021404,30.031954699894413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Knowledge,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_3.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,2,2,277,30.044737400021404,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.032394600100815,3.4330016933381e-4,30.11955920001492,30.494522999972105,30.594656799919903,32.594888400053605,32.99477309989743,33.096660299925134,33.096660299925134,42.69762110011652,b,0,9.596735199913384,NA,42.698275699978694,42.71133360010572,42.71133360010572,42.71133360010572,42.71133360010572,42.69893230008893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Belief,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_1.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,3,3,96,42.71133360010572,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.699459299910814,4.1840015910565e-4,42.79553880007006,43.17782410001382,43.27792729996145,45.278180999914184,45.67815689998679,45.77998110000044,45.77998110000044,50.064762300113216,h,1,4.2731333000119776,NA,50.06562580005266,50.07795830001123,50.07795830001123,50.07795830001123,50.07795830001123,50.06659760000184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Reality,Reg,TRUE,N,TB-K-B,TT_B,PsychoPyStudy5Stim/TT_B_3.png,"In REALITY, there are TWO cubes",Two,h,b,N,-,N,0,4,4,251,50.07795830001123,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.067300100112334,5.5820005945861e-4,50.16655749990605,50.544471699977294,50.64454580005258,52.64478869992308,53.04475799994543,53.14667910011485,53.14667910011485,54.347652199910954,b,1,1.1948492999654263,NA,54.34833199996501,54.361326300073415,54.361326300073415,54.361326300073415,54.361326300073415,54.34908280009404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Belief,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_2.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,5,5,97,54.361326300073415,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.34964519995265,4.4599990360438e-4,54.44084489997476,54.811081199906766,54.91123740002513,56.91147019993514,57.31143460003659,57.413241300033405,57.413241300033405,59.7641680999659,h,1,2.344385300064459,NA,59.76480600005016,59.77795649995096,59.77795649995096,59.77795649995096,59.77795649995096,59.7654359000735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Belief,Reg,TRUE,N,NB-TB-K,DT_NB,PsychoPyStudy5Stim/TD_NB_1.png,Adam THINKS there is ONE cube,One,h,b,N,-,N,0,6,6,165,59.77795649995096,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.765928599983454,3.6449986509978e-4,59.85863650008105,60.22773710009642,60.32786770001985,62.327941100113094,62.7280472998973,62.830019700108096,62.830019700108096,64.21339519997127,b,1,1.375569999916479,NA,64.21368789998814,64.22791259991936,64.22791259991936,64.22791259991936,64.22791259991936,64.21400130004622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Reality,Reg,TRUE,N,TB-K-B,DD_B,PsychoPyStudy5Stim/DD_B_7.png,"In REALITY, there are ZERO cubes",Zero,h,b,N,-,N,0,7,7,238,64.22791259991936,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.21421199990436,1.6789999790489e-4,64.30090559995733,64.67773250001483,64.77783180004917,66.77793140010908,67.17796529992484,67.27989510004409,67.27989510004409,68.71386969997548,b,1,1.4300099001266062,NA,68.71436879993416,68.7278158001136,68.7278158001136,68.7278158001136,68.7278158001136,68.71489960001782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
Knowledge,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_5.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,8,8,279,68.7278158001136,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.71528190001845,2.9990007169544e-4,68.80907090008259,69.19439719989896,69.29448430007324,71.29470259998925,71.69468539999798,71.79661309998482,71.79661309998482,74.64708400005475,h,1,2.8404864000622183,NA,74.64757880009711,74.66113890009001,74.66113890009001,74.66113890009001,74.66113890009001,74.64811820001341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,014,001,2025-10-02_15h08.09.554,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-02 15h08.21.057787 +0100
