Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00295940018258988,0.0269009000621736,2.008717300137505,2.008717300137505,7.785924000199884,space,5.757252600044012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Knowledge,Reg,FALSE,N,TB-K-B,TT_B,PsychoPyStudy5Stim/TT_B_1.png,Adam KNOWS there is ONE cube,One,b,h,N,PropFalse,N,0,0,0,245,7.899764100089669,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.896424000151455,0.11049830005504192,7.981472600018606,8.357822500169277,8.458051700145006,10.457899500150234,10.857914100168273,10.97831580019556,10.97831580019556,11.794340800028294,b,1,0.8124190999660641,NA,11.795692500192672,11.807654900010675,11.807654900010675,11.807654900010675,11.807654900010675,11.7962603000924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Knowledge,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_7.png,Adam does NOT KNOW there are TWO cubes,Two,h,b,Y,-,N,0,1,1,6,11.807654900010675,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.79708810010925,3.380998969078e-4,11.886944300029429,12.25781700015068,12.357995100086557,14.357879200018942,14.7577590001747,14.860383100109177,14.860383100109177,15.343970500165597,h,1,0.48169229994528,NA,15.344275700161234,15.357627500081437,15.357627500081437,15.357627500081437,15.357627500081437,15.344603800214829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Belief,Neg,TRUE,Y,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_1.png,Adam does NOT THINK there is ONE cube,One,h,b,Y,-,N,0,2,2,24,15.357627500081437,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.344821900129318,1.7590005882084e-4,15.436474200105296,15.807608400005847,15.90769900009036,17.907760900212452,18.30770600005053,18.410211800131947,18.410211800131947,18.928503500064835,h,1,0.5153950999956578,NA,18.929339200025424,18.94110420020297,18.94110420020297,18.94110420020297,18.94110420020297,18.93023980013095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Reality,Reg,TRUE,N,TB-K-B,TT_B,PsychoPyStudy5Stim/TT_B_3.png,"In REALITY, there are TWO cubes",Two,h,b,N,-,N,0,3,3,251,18.94110420020297,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.930884800152853,5.0300010479986e-4,19.030237100087103,19.407826700014994,19.50777590018697,21.50779000017792,21.9077750002034,22.010177600197498,22.010177600197498,22.72777870018035,h,1,0.7159088999032974,NA,22.72827570000663,22.74102870002389,22.74102870002389,22.74102870002389,22.74102870002389,22.728808300103992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Knowledge,Neg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_3.png,Adam does NOT KNOW there is ONE cube,One,h,b,Y,-,N,0,4,4,58,22.74102870002389,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.72918620007113,2.95199919492e-4,22.82117190002464,23.19127120007761,23.291353899985552,25.29122050013393,25.69120750017464,25.79361920012161,25.79361920012161,26.744121600175276,b,0,0.9488349999301136,NA,26.744610900059342,26.757694100029767,26.757694100029767,26.757694100029767,26.757694100029767,26.745163300074637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Reality,Reg,FALSE,N,TB-K-B,DD_B,PsychoPyStudy5Stim/DD_B_9.png,"In REALITY, there are TWO cubes",Two,b,h,N,PropFalse,N,0,5,5,240,26.757694100029767,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7455365001224,2.915000077337e-4,26.84464090014808,27.224453600123525,27.324566300027072,29.324549000011757,29.724512400105596,29.826903000008315,29.826903000008315,30.360432400135323,b,1,0.5315060000866652,NA,30.36076120007783,30.374273100169376,30.374273100169376,30.374273100169376,30.374273100169376,30.3611196000129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Belief,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_4.png,Adam THINKS there are TWO cubes,Two,b,h,N,PropFalse,N,0,6,6,302,30.374273100169376,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.361377299996093,2.0730006508529e-4,30.45115470001474,30.8244233999867,30.924510800046846,32.924609100213274,33.32446540007368,33.42693060007878,33.42693060007878,34.16030260012485,b,1,0.7222603000700474,NA,34.160594100132585,34.174316100077704,34.174316100077704,34.174316100077704,34.174316100077704,34.160913800122216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Knowledge,Reg,TRUE,N,NB-TB-K,D_NB,PsychoPyStudy5Stim/D_NB_6.png,Adam KNOWS there are ZERO cubes,Zero,h,b,N,-,N,0,7,7,133,34.174316100077704,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.161121300188825,1.6529997810721e-4,34.24478670000099,34.624402000103146,34.724409700138494,36.72453820006922,37.12454770016484,37.22684870008379,37.22684870008379,37.7773381001316,b,0,0.5481151998974383,NA,37.77785640000366,37.790958900004625,37.790958900004625,37.790958900004625,37.790958900004625,37.77839980018325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Belief,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_7.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,8,8,289,37.790958900004625,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.778797400183976,3.1660008244216e-4,37.86280930018984,38.241039199987426,38.34116110019386,40.34120210004039,40.74116179998964,40.843496800167486,40.843496800167486,42.01070950017311,b,1,1.1540594999678433,NA,42.011195600032806,42.024286600062624,42.024286600062624,42.024286600062624,42.024286600062624,42.0117250001058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
Knowledge,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_3.png,Adam does NOT KNOW there is ONE cube,One,b,h,Y,PropFalse,N,0,9,9,42,42.024286600062624,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.01209810003638,2.9230001382529e-4,42.09809930017218,42.47434290009551,42.57451410009526,44.57439390011132,44.97447170014493,45.076789300190285,45.076789300190285,46.56069350009784,b,1,1.481352800037712,NA,46.56118550011888,46.57430630014278,46.57430630014278,46.57430630014278,46.57430630014278,46.56168620008975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,003,001,2025-10-01_13h46.42.958,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 13h46.55.693958 +0100
