Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00290790013968944,0.02545529999770224,2.000554900150746,2.000554900150746,13.808708199998364,space,11.799741599941626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Belief,Reg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_7.png,Adam THINKS there are TWO cubes,Two,h,b,N,-,N,0,0,0,179,13.93119000014849,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.92737859999761,0.11868409998714924,14.00862540001981,14.382846200140191,14.482976300176231,16.483005800051615,16.883090500021353,17.007112100021914,17.007112100021914,18.019160400144756,b,1,1.008972000097856,NA,18.019856800092384,18.032836799975485,18.032836799975485,18.032836799975485,18.032836799975485,18.020217400044203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Belief,Reg,FALSE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_4.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,1,1,266,18.032836799975485,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.020584100158885,1.8869992345571e-4,18.115415300009772,18.499482000013813,18.5997830000706,20.59981340006925,20.999669400043786,21.101981000043452,21.101981000043452,22.10220540012233,h,1,0.9944697997998446,NA,22.102514600148425,22.116152400150895,22.116152400150895,22.116152400150895,22.116152400150895,22.10283780004829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Belief,Neg,TRUE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_3.png,Adam does NOT THINK there is ONE cube,One,h,b,Y,-,N,0,2,2,86,22.116152400150895,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.10304640000686,1.6489997506141e-4,22.189650299958885,22.566106900107116,22.66660310002044,24.666405400028452,25.066586000146344,25.168694799998775,25.168694799998775,27.80257340008393,b,1,2.6226029000245035,NA,27.802965800045055,27.816230800002813,27.816230800002813,27.816230800002813,27.816230800002813,27.803321700077504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Belief,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_4.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,3,3,99,27.816230800002813,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.803540399996564,1.7049978487193e-4,27.893790000118315,28.266079799970612,28.36661810008809,30.366524700075388,30.766403899993747,30.868602400179952,30.868602400179952,32.80258600017987,h,1,1.9236175999976697,NA,32.80317210010253,32.81618550000712,32.81618550000712,32.81618550000712,32.81618550000712,32.80378650012426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Reality,Reg,FALSE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_6.png,"In REALITY, there are ZERO cubes",Zero,b,h,N,PropFalse,N,0,4,4,273,32.81618550000712,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.804257000098005,3.7379981949925e-4,32.903157599968836,33.28276200010441,33.383091300027445,35.38307760003954,35.783006000099704,35.885157000040635,35.885157000040635,36.77011590008624,h,1,0.8825632999651134,NA,36.77094190008938,36.7829571000766,36.7829571000766,36.7829571000766,36.7829571000766,36.77177740004845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Belief,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_2.png,Adam THINKS there are TWO cubes,Two,b,h,N,PropFalse,N,0,5,5,300,36.7829571000766,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.772390200058,5.063998978585e-4,36.86759590008296,37.249390500131994,37.3495165000204,39.34981270018034,39.74973869998939,39.85195270017721,39.85195270017721,40.769924600142986,h,1,0.9083606000058352,NA,40.770736100152135,40.78298130002804,40.78298130002804,40.78298130002804,40.78298130002804,40.77165730018169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Belief,Neg,TRUE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_4.png,Adam does NOT THINK there are TWO cubes,Two,h,b,Y,-,N,0,6,6,39,40.78298130002804,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.772302200086415,4.9920007586479e-4,40.86790690012276,41.24968400015496,41.34954149997793,43.34975840011611,43.74974110000767,43.851924699964,43.851924699964,45.335898500168696,b,1,1.4760900000110269,NA,45.33648549998179,45.349545900011435,45.349545900011435,45.349545900011435,45.349545900011435,45.3371137001086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Reality,Reg,TRUE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_2.png,"In REALITY, there is ONE cube",One,h,b,N,-,N,0,7,7,271,45.349545900011435,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.337551900185645,3.4129992127418e-4,45.4340419000946,45.8162627001293,45.91638860013336,47.91639050003141,48.316227700095624,48.41874820017256,48.41874820017256,49.43639779998921,b,1,1.01329950010404,NA,49.43712450005114,49.44954050006345,49.44954050006345,49.44954050006345,49.44954050006345,49.43786470009945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Reality,Reg,FALSE,N,NB-TB-K,D_NB,PsychoPyStudy5Stim/D_NB_6.png,"In REALITY, there is ONE cube",One,b,h,N,PropFalse,N,0,8,8,138,49.44954050006345,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.43839740008116,4.1249999776482e-4,49.531518400181085,49.91624990012497,50.01637700013816,52.01621800009161,52.41620680014603,52.518522300058976,52.518522300058976,53.33571240003221,h,1,0.8091951000969857,NA,53.3362255000975,53.34946950012818,53.34946950012818,53.34946950012818,53.34946950012818,53.336779500124976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
Knowledge,Neg,TRUE,Y,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_4.png,Adam does NOT KNOW there is ONE cube,One,h,b,Y,-,N,0,9,9,11,53.34946950012818,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.33714780001901,2.8659985400736e-4,53.43082210002467,53.81598780001514,53.91639450006187,55.916346800047904,56.31628330005333,56.41875690012239,56.41875690012239,57.98653240012936,b,1,1.5576321000698954,NA,57.98735360009596,57.99953040014952,57.99953040014952,57.99953040014952,57.99953040014952,57.988265600055456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,060,001,2025-10-21_15h33.11.050,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-21 15h33.22.286932 +0100
