Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End_Text.stopped,Exp_End_Key_Resp.stopped,Exp_End.stopped,Exp_End_Key_Resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00292359990999102,0.02412869990803301,2.0097207000944763,2.0097207000944763,34.169898899970576,space,32.144200399983674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Reality,Reg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_1.png,"In REALITY, there are TWO cubes",Two,h,b,N,-,N,0,0,0,191,34.28399190003984,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.280785700073466,0.11088809999637306,34.36712469998747,34.74184720008634,34.841952699935064,36.84218799998053,37.2421619000379,37.36132899997756,37.36132899997756,37.99493629997596,b,1,0.6246056999079883,NA,37.99640700011514,38.00865660002455,38.00865660002455,38.00865660002455,38.00865660002455,37.99716569995507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Reality,Reg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_7.png,"In REALITY, there are ZERO cubes",Zero,b,h,N,PropFalse,N,0,1,1,194,38.00865660002455,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.99802029994317,4.4469977729022e-4,38.1011880999431,38.47551109991037,38.57558499998413,40.57551530003548,40.9754633998964,41.07740589999594,41.07740589999594,41.794648400042206,h,1,0.7080512000247836,NA,41.79519540001638,41.80861139995977,41.80861139995977,41.80861139995977,41.80861139995977,41.79576770006679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Belief,Neg,TRUE,N,TB-K,TD_B,PsychoPyStudy5Stim/TD_B_1.png,Adam does NOT THINK there are TWO cubes,Two,h,b,Y,-,N,0,2,2,108,41.80861139995977,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.79614860005677,2.959999255836e-4,41.898034600075334,42.27536530001089,42.37557159992866,44.37530339998193,44.77555159991607,44.87737710005604,44.87737710005604,46.37845150008798,b,1,1.4920965998899192,NA,46.37913880008273,46.392028300091624,46.392028300091624,46.392028300091624,46.392028300091624,46.37987790000625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Belief,Reg,FALSE,N,TB-K-B,DD_B,PsychoPyStudy5Stim/DD_B_3.png,Adam THINKS there is ONE cube,One,b,h,N,PropFalse,N,0,3,3,234,46.392028300091624,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.38044709991664,4.4570001773536e-4,46.4756720000878,46.858737600035965,46.95882780011743,48.958869100082666,49.35875159990974,49.46078429999761,49.46078429999761,51.128031299915165,h,1,1.6520883000921458,NA,51.12860019993968,51.14197019999847,51.14197019999847,51.14197019999847,51.14197019999847,51.129232899984345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Knowledge,Reg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_8.png,Adam KNOWS there is ONE cube,One,b,h,N,PropFalse,N,0,4,4,176,51.14197019999847,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.129670900059864,3.3749989233911e-4,51.21548180002719,51.592115599894896,51.69217259995639,53.69210730004124,54.09198569995351,54.19395289989188,54.19395289989188,55.56168029992841,h,1,1.3601989999879152,NA,55.562362800119445,55.57530319993384,55.57530319993384,55.57530319993384,55.57530319993384,55.563087000045925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Reality,Reg,TRUE,N,FB-Ig,B_TT,PsychoPyStudy5Stim/B_TT_2.png,"In REALITY, there are TWO cubes",Two,h,b,N,-,N,0,5,5,332,55.57530319993384,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.56360920006409,4.0329992771148e-4,55.66358150006272,56.04183780006133,56.141888099955395,58.14197500003502,58.54198900004849,58.643876699963585,58.643876699963585,60.14504329999909,b,1,1.4856364999432117,NA,60.14575199992396,60.15862059989013,60.15862059989013,60.15862059989013,60.15862059989013,60.14651719992981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Knowledge,Reg,TRUE,N,TB-K-B,DD_B,PsychoPyStudy5Stim/DD_B_3.png,Adam KNOWS there are ZERO cubes,Zero,h,b,N,-,N,0,6,6,217,60.15862059989013,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.14704119996168,4.0349992923438e-4,60.23005619994365,60.60868120007217,60.70877410005778,62.708706399891526,63.10870509990491,63.21064960001968,63.21064960001968,64.66109420009889,h,0,1.438922799890861,NA,64.66161569999531,64.67524680006318,64.67524680006318,64.67524680006318,64.67524680006318,64.66214599995874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Knowledge,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_3.png,Adam does NOT KNOW there are TWO cubes,Two,h,b,Y,-,N,0,7,7,2,64.67524680006318,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.66254459996708,3.140999469906e-4,64.75153349991888,65.1252735001035,65.22551029990427,67.2253650999628,67.62541290000081,67.72723959991708,67.72723959991708,69.16127429995686,b,1,1.4179690999444574,NA,69.16180490003899,69.17519009998068,69.17519009998068,69.17519009998068,69.17519009998068,69.16235819994472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
Knowledge,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_3.png,Adam does NOT KNOW there is ONE cube,One,b,h,Y,PropFalse,N,0,8,8,42,69.17519009998068,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.16276019997895,3.1009991653263e-4,69.25246559991501,69.62512669991702,69.7254977999255,71.72541050007567,72.12533330009319,72.22731749992818,72.22731749992818,73.24499549996108,h,1,1.014176599914208,NA,73.2456592998933,73.25855439994484,73.25855439994484,73.25855439994484,73.25855439994484,73.24638779996894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,006,001,2025-10-01_15h12.04.075,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-01 15h12.15.994536 +0100
