Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End_Text.stopped,Exp_End_Key_Resp.stopped,Exp_End.stopped,Exp_End_Key_Resp.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00304910005070269,0.02438420010730624,1.9996554001700133,1.9996554001700133,9.06035490008071,space,7.042831700062379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Belief,Reg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_6.png,Adam THINKS there is ONE cube,One,b,h,N,PropFalse,N,0,0,0,190,9.185792200034484,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.182606199989095,0.12225979985669257,9.270425700116904,9.648589699994773,9.748798600165172,11.748717300128192,12.148824300151318,12.27136280015111,12.27136280015111,13.301385400118306,h,1,1.02712590014562,NA,13.30210950016044,13.315246199956164,13.315246199956164,13.315246199956164,13.315246199956164,13.30244420003146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Belief,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_5.png,Adam does NOT THINK there are TWO cubes,Two,h,b,Y,-,N,0,1,1,20,13.315246199956164,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.30281769996509,1.7910008318722e-4,13.399191200034693,13.782128900056705,13.882410600082949,15.882315300172197,16.28225770010613,16.38443430000916,16.38443430000916,20.634898100048304,b,1,4.23401360004209,NA,20.635215200018138,20.6486109001562,20.6486109001562,20.6486109001562,20.6486109001562,20.63561849994585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Knowledge,Neg,TRUE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_2.png,Adam does NOT KNOW there are TWO cubes,Two,h,b,Y,-,N,0,2,2,33,20.6486109001562,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.635852999985214,1.9129994325339e-4,20.72747140005231,21.098878000164405,21.19875210011378,23.198707200121135,23.599154100054875,23.701429600128904,23.701429600128904,37.401815900113434,h,0,13.69323810003698,NA,37.402310400037095,37.41533290012739,37.41533290012739,37.41533290012739,37.41533290012739,37.40284730005078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Belief,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_3.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,3,3,98,37.41533290012739,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.40322279999964,2.905000001192e-4,37.498049000045285,37.88212310010567,37.98207110003568,39.98215030017309,40.38212139997631,40.484228500165045,40.484228500165045,44.318473800085485,h,1,3.830569599987939,NA,44.31895560002886,44.33196960017085,44.33196960017085,44.33196960017085,44.33196960017085,44.319511299952865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Knowledge,Neg,FALSE,N,TB-K,TD_B,PsychoPyStudy5Stim/TD_B_8.png,Adam does NOT KNOW there is ONE cube,One,b,h,Y,PropFalse,N,0,4,4,119,44.33196960017085,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.31988500012085,2.8789998032152e-4,44.412838000105694,44.78207970014773,44.88223890005611,46.88223240012303,47.28206930006854,47.38446220010519,47.38446220010519,50.385368400020525,h,1,2.9862899999134243,NA,50.386030100053176,50.39866270008497,50.39866270008497,50.39866270008497,50.39866270008497,50.38674410013482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Belief,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_1.png,Adam does NOT THINK there are TWO cubes,Two,h,b,Y,-,N,0,5,5,16,50.39866270008497,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.387232900131494,3.7680007517337e-4,50.49062640010379,50.86534780007787,50.965496600139886,52.96539270016365,53.365550900110975,53.46783320000395,53.46783320000395,56.71790189994499,b,1,3.238564300118014,NA,56.71821189997718,56.73190250014886,56.73190250014886,56.73190250014886,56.73190250014886,56.71855700016022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Belief,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_6.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,6,6,288,56.73190250014886,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.71878210012801,1.7689983360469e-4,56.81933670002036,57.19867449998856,57.29868350015022,59.29863890004344,59.698755000019446,59.80094300000928,59.80094300000928,60.98523160000332,h,1,1.169029799988493,NA,60.98589810007252,60.99862530012615,60.99862530012615,60.99862530012615,60.99862530012615,60.98662590002641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Knowledge,Reg,TRUE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_5.png,Adam KNOWS there is ONE cube,One,h,b,N,-,N,0,7,7,255,60.99862530012615,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.98714500013739,4.0160003118216e-4,61.08073469996452,61.46529319998808,61.56542990007438,63.56534660002217,63.96529239998199,64.06741579994559,64.06741579994559,65.06845950009301,b,1,0.9993212998379022,NA,65.06904810015112,65.08192300004885,65.08192300004885,65.08192300004885,65.08192300004885,65.06964939995669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
Reality,Reg,FALSE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_3.png,"In REALITY, there are ZERO cubes",Zero,b,h,N,-,N,0,8,8,319,65.08192300004885,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.07008760003373,3.3619999885559e-4,65.18467210000381,65.56534490012564,65.6654307001736,67.66543920012191,68.06539200013503,68.16766729997471,68.16766729997471,68.96859410009347,h,1,0.7865844999905676,NA,68.96928950003348,68.98183830012567,68.98183830012567,68.98183830012567,68.98183830012567,68.97001729998738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,048,001,2025-10-17_09h41.20.058,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 09h41.40.733239 +0100
