Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00298190000467002,0.02458139997906983,2.0108188000740483,2.0108188000740483,24.290497999987565,space,22.25365019997116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Knowledge,Neg,TRUE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_1.png,Adam does NOT KNOW there is ONE cube,One,h,b,Y,-,N,0,0,0,80,24.40281010000035,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.399670400074683,0.10916799993719906,24.48544469999615,24.860097900032997,24.96013830008451,26.96007999998983,27.360089300083928,27.48057230003178,27.48057230003178,29.279144300031476,b,1,1.784166199970059,NA,29.280121800024062,29.2932438000571,29.2932438000571,29.2932438000571,29.2932438000571,29.280453099985607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Knowledge,Reg,FALSE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_5.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropTrueNoKnow,Y,0,1,1,311,29.2932438000571,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.28103910002392,1.8929992802441e-4,29.366880899993703,29.74337150005158,29.843550799996592,31.84351150004659,32.24344930006191,32.34539140004199,32.34539140004199,33.96287599997595,h,1,1.615493700024672,NA,33.96338990004733,33.97671179997269,33.97671179997269,33.97671179997269,33.97671179997269,33.96394410007633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Reality,Reg,TRUE,N,NB-TB-K,DT_NB,PsychoPyStudy5Stim/TD_NB_2.png,"In REALITY, there is ONE cube",One,h,b,N,-,N,0,2,2,168,33.97671179997269,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.964329099981114,3.026999766007e-4,34.06320069998037,34.44338820001576,34.543407000019215,36.54339080001227,36.943410900072195,37.045364600024186,37.045364600024186,39.17881810001563,b,1,2.1238910000538453,NA,39.17913619999308,39.19319660007022,39.19319660007022,39.19319660007022,39.19319660007022,39.179452600074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Knowledge,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_2.png,Adam does NOT KNOW there are TWO cubes,Two,b,h,Y,PropFalse,N,0,3,3,89,39.19319660007022,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.17968000005931,1.8169998656958e-4,39.27617349999491,39.660072099999525,39.76022539997939,41.7600994000677,42.16008780000266,42.26220740005374,42.26220740005374,48.07889490004163,h,1,5.810766500071622,NA,48.07920010003727,48.09309760003816,48.09309760003816,48.09309760003816,48.09309760003816,48.07952919998206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Knowledge,Reg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_6.png,Adam KNOWS there are TWO cubes,Two,h,b,N,-,N,0,4,4,172,48.09309760003816,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.07974600000307,1.7319992184638e-4,48.17908240004908,48.5598434000276,48.660144000081345,50.66010790003929,51.0600553000113,51.16207540000323,51.16207540000323,53.4792798999697,b,1,2.3030368000036106,NA,53.479777200031094,53.493275100016035,53.493275100016035,53.493275100016035,53.493275100016035,53.480313700041734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Belief,Reg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_8.png,Adam THINKS there are TWO cubes,Two,h,b,N,-,N,0,5,5,180,53.493275100016035,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.48069570004009,3.0179996974766e-4,53.57117150002159,53.94326009997167,54.04353979998268,56.043446799973026,56.443388500018045,56.54543719999492,56.54543719999492,58.07936219999101,b,1,1.5194294000975788,NA,58.07992759998888,58.09327770001255,58.09327770001255,58.09327770001255,58.09327770001255,58.08054350002203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Reality,Reg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_7.png,"In REALITY, there are ZERO cubes",Zero,b,h,N,PropFalse,N,0,6,6,146,58.09327770001255,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.080980299972,3.4509995020926e-4,58.1689346000785,58.543224500026554,58.64321490004659,60.64326989999972,61.04351069999393,61.1454725000076,61.1454725000076,63.32883520005271,b,0,2.1673326999880373,NA,63.32913029997144,63.34356230008416,63.34356230008416,63.34356230008416,63.34356230008416,63.32945279998239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Knowledge,Reg,FALSE,N,TB-Ig,D_B,PsychoPyStudy5Stim/D_B_D_2.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropTrueNoKnow,Y,0,7,7,207,63.34356230008416,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.329664900084026,1.6990001313388e-4,63.43347699998412,63.80979910003953,63.910021000076085,65.91005140007474,66.30998270004056,66.41195760003757,66.41195760003757,69.37896960007492,h,1,2.964840600034222,NA,69.37927580007818,69.3930723000085,69.3930723000085,69.3930723000085,69.3930723000085,69.37960770004429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
Belief,Reg,FALSE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_3.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,8,8,265,69.3930723000085,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.37983490002807,1.8049997743219e-4,69.47126180003397,69.84320860006846,69.94323850004002,71.94341579999309,72.34342450008262,72.4453058000654,72.4453058000654,77.06261240004096,h,1,4.611313599976711,NA,77.06312160007656,77.07643680006731,77.07643680006731,77.07643680006731,77.07643680006731,77.06365819997154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,042,001,2025-10-15_09h46.59.956,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-15 09h47.12.521831 +0100
