Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00286280002910643,0.02762060001259669,2.013932100031525,2.013932100031525,2.710335800016765,space,0.6782002000254579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_4.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,0,0,99,2.8363727000541985,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8330585000221618,0.12270609999541192,2.941568800015375,3.3132455000304617,3.413392800022848,5.413365800050087,5.813342200010084,5.93359860003693,5.93359860003693,9.049528700008524,h,1,3.1096015999792144,NA,9.05065640003886,9.063130600028671,9.063130600028671,9.063130600028671,9.063130600028671,9.051214400038589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Neg,TRUE,Y,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_3.png,Adam does NOT THINK there is ONE cube,One,h,b,Y,-,N,0,1,1,26,9.063130600028671,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.051877800025975,3.1729997135698e-4,9.14213930000551,9.513224200054538,9.61313589999918,11.613311500055715,12.013281900028232,12.115591400011908,12.115591400011908,16.165617100021336,b,1,4.04042080004001,NA,16.165913600008935,16.179731500044,16.179731500044,16.179731500044,16.179731500044,16.166233900003135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_1.png,Adam THINKS there are TWO cubes,Two,b,h,N,PropFalse,N,0,2,2,299,16.179731500044,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.166442000016104,1.6369996592402e-4,16.26332640001783,16.646464100049343,16.746611100039445,18.74654790002387,19.146533300052397,19.24883460003184,19.24883460003184,20.24901690002298,h,1,0.9873280000174418,NA,20.24933240003884,20.263037300028373,20.263037300028373,20.263037300028373,20.263037300028373,20.24967440002365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_1.png,Adam does NOT THINK there is ONE cube,One,b,h,Y,PropFalse,N,0,3,3,48,20.263037300028373,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.249898400041275,1.7600000137463e-4,20.36230150004849,20.746467100048903,20.8466097000055,22.84654540003976,23.246562600019388,23.34879540000111,23.34879540000111,26.31622260005679,b,0,2.950904199969955,NA,26.31682050001109,26.32964340003673,26.32964340003673,26.32964340003673,26.32964340003673,26.31743610004196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Reg,FALSE,N,NB-TB-K,DD_NB,PsychoPyStudy5Stim/DD_NB_2.png,Adam THINKS there is ONE cube,One,b,h,N,PropFalse,N,0,4,4,158,26.32964340003673,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.317902200040407,3.4839997533708e-4,26.41976680001244,26.796432300005108,26.89652740000747,28.896608000039123,29.296456500014756,29.398682000057303,29.398682000057303,30.69935730000725,h,1,1.2926360000274144,NA,30.69985530001577,30.713040700007696,30.713040700007696,30.713040700007696,30.713040700007696,30.70040670002345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Reg,TRUE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_2.png,Adam THINKS there are ZERO cubes,Zero,h,b,N,-,Y,0,5,5,313,30.713040700007696,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.7007851000526,2.9529997846111e-4,30.79607570002554,31.179781900020316,31.279864400043152,33.27988060005009,33.67990700004157,33.78214280004613,33.78214280004613,34.36632390000159,b,1,0.5816954000038095,NA,34.366969600028824,34.37970889999997,34.37970889999997,34.37970889999997,34.37970889999997,34.36759570002323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Knowledge,Reg,TRUE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_5.png,Adam KNOWS there is ONE cube,One,h,b,N,-,N,0,6,6,255,34.37970889999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.36806870001601,3.4950004192069e-4,34.47578810004052,34.846496400015894,34.94638900004793,36.946483900013845,37.34641930001089,37.44859640003415,37.44859640003415,38.982226100051776,b,1,1.5227060000179335,NA,38.98257420002483,38.99618720001308,38.99618720001308,38.99618720001308,38.99618720001308,38.9828982000472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Reg,TRUE,N,TB-K-B,TT_B,PsychoPyStudy5Stim/TT_B_5.png,Adam THINKS there are TWO cubes,Two,h,b,N,-,N,0,7,7,246,38.99618720001308,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.98310670000501,1.6459997277706e-4,39.07296800002223,39.44651050004177,39.546360600041226,41.54649070004234,41.946563000034075,42.048924800008535,42.048924800008535,43.033173500036355,b,1,0.9785677999607288,NA,43.03386830003001,43.04635370004689,43.04635370004689,43.04635370004689,43.04635370004689,43.03459710004972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
Belief,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_6.png,Adam THINKS there are TWO cubes,Two,b,h,N,PropFalse,N,0,8,8,304,43.04635370004689,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.03512250003405,4.0789996273815e-4,43.12389670003904,43.49643510003807,43.59655370004475,45.59653890004847,45.99628570000641,46.09869380004238,46.09869380004238,49.09940890001599,h,1,2.992763600021135,NA,49.099966800014954,49.11302480002632,49.11302480002632,49.11302480002632,49.11302480002632,49.10058500000741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,020,001,2025-10-08_09h50.02.814,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-08 09h50.14.055704 +0100
