Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00302790012210607,0.0245388001203537,2.010830300161615,2.010830300161615,8.548814000096172,space,6.518537800060585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Knowledge,Neg,FALSE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_8.png,Adam does NOT KNOW there is ONE cube,One,b,h,Y,PropFalse,N,0,0,0,47,8.667347399983555,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.66426740004681,0.11547459987923504,8.743645700160414,9.126797799952328,9.2268056999892,11.22676520003006,11.626851300010458,11.747807000065222,11.747807000065222,14.012609200086445,h,0,2.2533470999915153,NA,14.013948100153357,14.026587100001052,14.026587100001052,14.026587100001052,14.026587100001052,14.01451180013828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Belief,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_3.png,Adam THINKS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,1,1,285,14.026587100001052,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.015339900041,3.187998663634e-4,14.10781199997291,14.493414100026712,14.593578099971635,16.593447900144383,16.99345550010912,17.095363300060853,17.095363300060853,18.996015600161627,b,1,1.897922200150788,NA,18.996312899980698,19.0099734000396,19.0099734000396,19.0099734000396,19.0099734000396,18.99663139996119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Belief,Neg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_3.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,2,2,74,19.0099734000396,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.996843799948692,1.660999841988e-4,19.078156900126487,19.460068700136617,19.560181100154296,21.55994569999166,21.960154100088403,22.06208740011789,22.06208740011789,25.17990109999664,b,1,3.106307999929413,NA,25.18060109997168,25.193344800034534,25.193344800034534,25.193344800034534,25.193344800034534,25.18135890015401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Knowledge,Reg,TRUE,N,TB-K-B,TD_B,PsychoPyStudy5Stim/TD_B_8.png,Adam KNOWS there is ONE cube,One,h,b,N,-,N,0,3,3,258,25.193344800034534,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.18191760010086,4.3509993702173e-4,25.282950000138953,25.660014000022784,25.760164899984375,27.760068000061437,28.16007860004902,28.262105900095776,28.262105900095776,29.779540900141,b,0,1.5068055998999623,NA,29.78016470000148,29.793326900107783,29.793326900107783,29.793326900107783,29.793326900107783,29.780850500101224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Knowledge,Reg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_4.png,Adam KNOWS there is ONE cube,One,b,h,N,PropFalse,N,0,4,4,175,29.793326900107783,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.781336300075058,3.7410017102956e-4,29.870196799980476,30.243239199975505,30.34340939996764,32.34332380001433,32.74344990006648,32.84530319995247,32.84530319995247,34.179686800111085,b,1,1.3313096999190748,NA,34.18033790006302,34.193350200075656,34.193350200075656,34.193350200075656,34.193350200075656,34.181065200129524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Belief,Reg,TRUE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_4.png,Adam THINKS there are ZERO cubes,Zero,h,b,N,-,Y,0,5,5,315,34.193350200075656,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.18157749995589,3.9519998244941e-4,34.27092900010757,34.64333919994533,34.743480599951,36.74349940009415,37.14348980016075,37.24513679998927,37.24513679998927,38.49571710010059,h,1,1.2440467001870277,NA,38.49609889998101,38.509854699950665,38.509854699950665,38.509854699950665,38.509854699950665,38.4965163001325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Belief,Neg,TRUE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_4.png,Adam does NOT THINK there is ONE cube,One,h,b,Y,-,N,0,6,6,87,38.509854699950665,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.49680340010673,2.2339983843266e-4,38.58489329996519,38.96000070008449,39.06011880002916,41.06000860012136,41.46004689997062,41.562123800162226,41.562123800162226,42.97950210003182,h,1,1.4147926999721676,NA,42.98009970015846,42.99329500016757,42.99329500016757,42.99329500016757,42.99329500016757,42.98069979995489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Knowledge,Reg,FALSE,N,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_2.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropFalse,N,0,7,7,276,42.99329500016757,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.98116620001383,3.4110015258193e-4,43.07450350001454,43.45995489996858,43.560152100166306,45.56013899995014,45.96007560007274,46.06200879998505,46.06200879998505,47.94620370003395,b,1,1.867191799916327,NA,47.94689529994503,47.95998269994743,47.95998269994743,47.95998269994743,47.95998269994743,47.94765820004977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
Belief,Neg,FALSE,N,TB-K,TD_B,PsychoPyStudy5Stim/TD_B_6.png,Adam does NOT THINK there is ONE cube,One,b,h,Y,PropFalse,N,0,8,8,125,47.95998269994743,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.94822160014883,4.4350000098347e-4,48.04543270007707,48.42652680003084,48.52672740002163,50.52664140006527,50.92670860001817,51.02876020013355,51.02876020013355,52.36219140002504,b,1,1.331835800083354,NA,52.36257170001045,52.376417600084096,52.376417600084096,52.376417600084096,52.376417600084096,52.36295780004002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,055,001,2025-10-17_15h21.55.794,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-17 15h22.10.086218 +0100
