Statement_Type,Reg_Neg,Truth_Value,Experimental,Scenario,Stimuli_Type,Stimulus,Statement,Statement_Number,CorAnsOdd,CorAnsEven,Barrier,Why_False,Check_Trial,Exp_Trial.thisRepN,Exp_Trial.thisTrialN,Exp_Trial.thisN,Exp_Trial.thisIndex,thisRow.t,notes,Exp_Intro.started,Exp_Intro_Text.started,Exp_Intro_Press_SPACE_Text.started,Exp_Intro_Press_SPACE.started,Exp_Intro.stopped,Exp_Intro_Press_SPACE.keys,Exp_Intro_Press_SPACE.rt,Exp_Intro_Press_SPACE.duration,Exp_Routine.started,Exp_Routine_ISI.started,Exp_Routine_Statement_Primer.started,Exp_Routine_Statement_Primer.stopped,Exp_Routine_Statement.started,Exp_Routine_Image_Primer.started,Exp_Routine_Image_Primer.stopped,Exp_Routine_Image.started,Exp_Routine_Key_Resp.started,Exp_Routine.stopped,Exp_Routine_Key_Resp.keys,Exp_Routine_Key_Resp.corr,Exp_Routine_Key_Resp.rt,Exp_Routine_Key_Resp.duration,Break.started,Break_Text.started,Break_Text.stopped,Break_Key_Resp.started,Break_Key_Resp.stopped,Break.stopped,Break_Key_Resp.keys,Break_Key_Resp.rt,Break_Key_Resp.duration,Exp_End.started,Exp_End_Text.started,Exp_End_Key_Resp.started,Exp_End.stopped,Exp_End_Key_Resp.keys,Exp_End_Key_Resp.rt,Exp_End_Key_Resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00296029984019696,0.02435849979519844,1.9996383998077365,1.9996383998077365,13.89495849981904,space,11.870487000094728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Belief,Neg,TRUE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_1.png,Adam does NOT THINK there is ONE cube,One,h,b,Y,-,N,0,0,0,60,14.009407699806616,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.006440099794418,0.11147810006514192,14.083211899967864,14.465341900009662,14.56547879986465,16.56554659991525,16.965831899782643,17.09580299980007,17.09580299980007,19.95155179989524,h,1,2.852328799897805,NA,19.953227099962533,19.96555559989065,19.96555559989065,19.96555559989065,19.96555559989065,19.95393229997717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Belief,Neg,TRUE,Y,FB-Ig,T_B_T,PsychoPyStudy5Stim/T_B_T_3.png,Adam does NOT THINK there are TWO cubes,Two,h,b,Y,-,N,0,1,1,18,19.96555559989065,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.9550327998586,4.5369984582066e-4,20.039545099949464,20.415567999938503,20.51571979979053,22.515684299869463,22.915685299783945,23.01746809994802,23.01746809994802,26.36851179995574,h,1,3.3390035999473184,NA,26.36913419980556,26.382235099794343,26.382235099794343,26.382235099794343,26.382235099794343,26.3698388999328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Knowledge,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_1.png,Adam does NOT KNOW there are TWO cubes,Two,b,h,Y,PropFalse,N,0,2,2,88,26.382235099794343,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.370333999861032,4.1290000081062e-4,26.463363299844787,26.84882319997996,26.949078699806705,28.949063499923795,29.348957699956372,29.450762099819254,29.450762099819254,30.88424359983765,b,1,1.417504400014877,NA,30.88455279986374,30.898783599957824,30.898783599957824,30.898783599957824,30.898783599957824,30.884886499959975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Belief,Reg,TRUE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_1.png,Adam THINKS there are ZERO cubes,Zero,h,b,N,-,Y,0,3,3,312,30.898783599957824,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.88511179992929,1.7799995839595e-4,30.97520240000449,31.34884009999223,31.448985799914222,33.44898989982903,33.84898699983023,33.95073559996672,33.95073559996672,36.134689499856904,h,1,2.182091899914667,NA,36.13520859996788,36.14875929988921,36.14875929988921,36.14875929988921,36.14875929988921,36.13578199991025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Knowledge,Neg,FALSE,N,NB-TB-K,TT_NB,PsychoPyStudy5Stim/TT_NB_3.png,Adam does NOT KNOW there are TWO cubes,Two,b,h,Y,PropFalse,N,0,4,4,66,36.14875929988921,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.13617799989879,3.0700000934302e-4,36.22831469983794,36.59886759985238,36.69902939978056,38.69899149984121,39.09897219995037,39.200693199876696,39.200693199876696,40.701539499918,h,0,1.4843994998373091,NA,40.70214089984074,40.71550519997254,40.71550519997254,40.71550519997254,40.71550519997254,40.702751899836585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Belief,Reg,FALSE,N,FB-Ig,D_B_T,PsychoPyStudy5Stim/D_B_T_7.png,Adam THINKS there are TWO cubes,Two,b,h,N,PropFalse,N,0,5,5,305,40.71550519997254,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.70322469994426,3.7480005994439e-4,40.79431169992313,41.16548989992589,41.265742199961096,43.2656179999467,43.66567199979909,43.767378699965775,43.767378699965775,45.41807209979743,b,1,1.6450712999794632,NA,45.41867949999869,45.43216239986941,45.43216239986941,45.43216239986941,45.43216239986941,45.419303599977866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Knowledge,Reg,FALSE,N,FB-Ig,B_T,PsychoPyStudy5Stim/B_T_5.png,Adam KNOWS there are ZERO cubes,Zero,b,h,N,PropTrueNoKnow,Y,0,6,6,311,45.43216239986941,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.41974769998342,3.490000963211e-4,45.5309523998294,45.91530319978483,46.01575409993529,48.01573109999299,48.41561319981702,48.5173696000129,48.5173696000129,49.30168499983847,b,1,0.7754497001878917,NA,49.302374199964106,49.31550139980391,49.31550139980391,49.31550139980391,49.31550139980391,49.30310159991495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Knowledge,Reg,TRUE,N,NB-TB-K,T_NB,PsychoPyStudy5Stim/T_NB_2.png,Adam KNOWS there is ONE cube,One,h,b,N,-,N,0,7,7,141,49.31550139980391,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.303627899847925,4.0849996730685e-4,49.39063409995288,49.765510599827394,49.865621499950066,51.865586099913344,52.26557069993578,52.36730329995043,52.36730329995043,55.317966299830005,h,1,2.9405720001086593,NA,55.31847759988159,55.33210859983228,55.33210859983228,55.33210859983228,55.33210859983228,55.319055599858984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
Belief,Neg,FALSE,N,TB-K,TT_B,PsychoPyStudy5Stim/TT_B_6.png,Adam does NOT THINK there are TWO cubes,Two,b,h,Y,PropFalse,N,0,8,8,101,55.33210859983228,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.319452999858186,3.0950014479458e-4,55.40672669978812,55.78213489986956,55.88223089999519,57.882087599951774,58.282162099843845,58.384132199920714,58.384132199920714,63.43423919985071,b,1,5.0443361001089215,NA,63.43456399999559,63.448700399836525,63.448700399836525,63.448700399836525,63.448700399836525,63.4349035997875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,047,001,2025-10-16_09h47.45.150,Study_5_PsychoPy_Experiment,2024.1.5,NA,2025-10-16 09h47.57.935657 +0100
