Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.791202299995348,14.773345299996436,14.773345299996436,space,16.77692970004864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Belief,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_2.png,Adam THINKS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,0,0,127,NA,NA,NA,NA,NA,0.20982949994504452,31.858661799924448,32.23900509998202,32.33912099990994,34.339101099874824,34.739001999842,34.86699449992739,34.86699449992739,h,0,3.0429157000035048,37.93890059995465,37.93890059995465,37.93890059995465,37.93890059995465,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_9.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,1,1,142,NA,NA,NA,NA,NA,7.3840003460645e-4,38.02576299989596,38.40557439997792,38.505742999957874,40.50562769989483,40.90568770002574,41.00772250001319,41.00772250001319,b,1,3.398372899973765,44.422073299996555,44.422073299996555,44.422073299996555,44.422073299996555,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Reality,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_1.png,"In REALITY, there is ONE cube",1,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,2,2,54,NA,NA,NA,NA,NA,5.1830010488629e-4,44.49300229991786,44.87208869983442,44.9723878998775,46.972197899827734,47.3723104998935,47.47432849998586,47.47432849998586,h,1,1.7645572000183165,49.25562499999069,49.25562499999069,49.25562499999069,49.25562499999069,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_6.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,3,3,139,NA,NA,NA,NA,NA,0.00201730011031031,49.35207389993593,49.72221879987046,49.822357199853286,51.822378099896014,52.22228629980236,52.32427959982306,52.32427959982306,b,1,1.578003300121054,53.92229449981824,53.92229449981824,53.92229449981824,53.92229449981824,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Belief,FALSE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_1.png,Adam THINKS there is ONE cube,1,h,b,2,1,1,1,1,0,1,0,1,B,PropTrueNoBelief,0,4,4,212,NA,NA,NA,NA,NA,0.00172580010257661,54.02045749989338,54.405531299998984,54.505519799888134,56.505678799934685,56.90563129982911,57.007727299816906,57.007727299816906,h,1,5.166751200100407,62.20536869997159,62.20536869997159,62.20536869997159,62.20536869997159,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Reality,FALSE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_1.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,NB,PropFalse,0,5,5,63,NA,NA,NA,NA,NA,9.8340003751218e-4,62.27721309987828,62.65524089988321,62.755516099976376,64.75548879988492,65.15561569994316,65.2575764998328,65.2575764998328,h,1,4.92458499991335,70.20557779981755,70.20557779981755,70.20557779981755,70.20557779981755,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Reality,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_1.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,6,6,0,NA,NA,NA,NA,NA,0.00200499990023672,70.28921550000086,70.67218679981306,70.77231699996628,72.77225799998268,73.17216089996509,73.2743049999699,73.2743049999699,b,1,3.5719471001066267,76.87219579983503,76.87219579983503,76.87219579983503,76.87219579983503,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_10.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,7,7,143,NA,NA,NA,NA,NA,0.00206960015930235,76.96259639994241,77.33879559999332,77.43892459990457,79.43891509994864,79.83897309983149,79.94092800002545,79.94092800002545,b,1,2.8978041999507695,82.85544930002652,82.85544930002652,82.85544930002652,82.85544930002652,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
Knowledge,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_3.png,Adam KNOWS there are ZERO cubes,0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,8,8,236,NA,NA,NA,NA,NA,0.00195629987865686,82.95287349983118,83.32195989997126,83.42221859982237,85.42204239987768,85.82219779980369,85.92435440002009,85.92435440002009,b,1,1.9617216000333428,87.90548179997131,87.90548179997131,87.90548179997131,87.90548179997131,NA,NA,NA,NA,NA,NA,004,001,2024-10-02_14h08.12.106,PsychoPy Exp,2023.1.2,60.125927806126974
