Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.26478450000286,28.237603700254112,28.237603700254112,space,7.206160600297153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Belief,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_11.png,Adam THINKS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,0,0,198,NA,NA,NA,NA,NA,0.20969780022278428,35.763838800136,36.1368347001262,36.23700360022485,38.23689409997314,38.63700000010431,38.765645700041205,38.765645700041205,h,1,1.2463308996520936,40.03681869991124,40.03681869991124,40.03681869991124,40.03681869991124,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Reality,FALSE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_15.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,2,2,0,0,0,0,B,PropFalse,0,1,1,82,NA,NA,NA,NA,NA,0.00139890005812048,40.12750479998067,40.503526700194925,40.60350010031834,42.60363420005888,43.00364750018343,43.10608270019293,43.10608270019293,h,1,1.8340461002662776,44.97022010013461,44.97022010013461,44.97022010013461,44.97022010013461,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_2.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,2,2,135,NA,NA,NA,NA,NA,0.00169149972498416,45.06595570035279,45.43666579993442,45.53696720022708,47.536965700332075,47.936717700213194,48.03952430002391,48.03952430002391,b,1,1.3405414000153542,49.40352179994807,49.40352179994807,49.40352179994807,49.40352179994807,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Belief,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_1.png,Adam THINKS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,3,3,126,NA,NA,NA,NA,NA,0.00170110026374459,49.50468449993059,49.88675750000402,49.986936000175774,51.98688360024243,52.38689350010827,52.48934270022437,52.48934270022437,b,1,2.083317100070417,54.60321900015697,54.60321900015697,54.60321900015697,54.60321900015697,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_21.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,4,4,254,NA,NA,NA,NA,NA,3.8699992001056e-4,54.686772000044584,55.070110000204295,55.17021470004693,57.169996900018305,57.570292400196195,57.672968100290745,57.672968100290745,b,1,0.8997757998295128,58.603340700268745,58.603340700268745,58.603340700268745,58.603340700268745,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,5,5,148,NA,NA,NA,NA,NA,3.9610033854842e-4,58.67846290022135,59.05337020009756,59.153518500272185,61.15339650027454,61.55349650001153,61.65598689997569,61.65598689997569,b,1,1.3807745999656618,63.05322950007394,63.05322950007394,63.05322950007394,63.05322950007394,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_20.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,6,6,253,NA,NA,NA,NA,NA,0.00168660003691911,63.134802400134504,63.51992999995127,63.62020609993488,65.62019859999418,66.02015870017931,66.12254510028288,66.12254510028288,b,1,0.9455260001122952,67.08677250007167,67.08677250007167,67.08677250007167,67.08677250007167,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,7,7,202,NA,NA,NA,NA,NA,0.00169920036569237,67.1847907002084,67.56992110004649,67.67021170025691,69.67017409997061,70.07021050015464,70.1726163001731,70.1726163001731,h,1,1.2795009999535978,71.4700993001461,71.4700993001461,71.4700993001461,71.4700993001461,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_10.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,8,8,267,NA,NA,NA,NA,NA,0.0017119999974966,71.56184880016372,71.93676220020279,72.03687860025093,74.03685380006209,74.43676590034738,74.53920500027016,74.53920500027016,b,1,0.992770299781114,75.55342089990154,75.55342089990154,75.55342089990154,75.55342089990154,NA,NA,NA,NA,NA,NA,NA,026,001,2024-10-15_12h06.27.366,PsychoPy Exp,2023.1.2,60.02653178931638
