Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.08904860028997,16.06571720028296,16.06571720028296,space,28.31823330000043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Knowledge,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,0,0,229,NA,NA,NA,NA,NA,0.1950071998871863,44.67505540000275,45.04820830002427,45.14825040008873,47.14819710003212,47.54834649991244,47.67648130003363,47.67648130003363,h,1,4.475561100058258,52.18157909996808,52.18157909996808,52.18157909996808,52.18157909996808,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Reality,FALSE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_13.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,2,2,0,0,0,0,B,PropFalse,0,1,1,80,NA,NA,NA,NA,NA,0.00168329989537596,52.2833903003484,52.66490870015696,52.76499650022015,54.76497550029307,55.164978300221264,55.26724690012634,55.26724690012634,b,1,2.7976460000500083,58.08153420034796,58.08153420034796,58.08153420034796,58.08153420034796,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Belief,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_2.png,Adam THINKS there are ZERO cubes,0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,2,2,131,NA,NA,NA,NA,NA,0.00170259969308972,58.15884659998119,58.53154130000621,58.63165000034496,60.63164550019428,61.03167370008305,61.13377490034327,61.13377490034327,h,1,4.425994799938053,65.58145150030032,65.58145150030032,65.58145150030032,65.58145150030032,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Reality,TRUE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_4.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,1,1,0,1,0,1,B,-,0,3,3,53,NA,NA,NA,NA,NA,3.8390001282095e-4,65.65493990015239,66.03152080019936,66.13159120036289,68.13145720027387,68.53160590026528,68.633799500297755,68.633799500297755,h,1,1.790376900229603,70.4481943002902,70.4481943002902,70.4481943002902,70.4481943002902,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Knowledge,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_3.png,Adam KNOWS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,4,4,284,NA,NA,NA,NA,NA,0.00166680011898279,70.53071650024503,70.91479390021414,71.01496240030974,73.01479390030727,73.41469060024247,73.51711930008605,73.51711930008605,b,1,2.0186964999884367,75.56464770017192,75.56464770017192,75.56464770017192,75.56464770017192,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Knowledge,TRUE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_2.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,NB,-,0,5,5,226,NA,NA,NA,NA,NA,5.2500003948807e-4,75.65543289994821,76.03129190020263,76.13133390014991,78.1313376002945,78.53137820027769,78.63370480015874,78.63370480015874,h,1,1.6148461000993848,80.26491660019383,80.26491660019383,80.26491660019383,80.26491660019383,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Belief,TRUE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_1.png,Adam THINKS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,NB,-,0,6,6,117,NA,NA,NA,NA,NA,0.00166459986940026,80.35713740019128,80.73140590032563,80.83136680023745,82.83154800022021,83.23151340009645,83.33374080015346,83.33374080015346,h,1,1.3700216999277472,84.73129940032959,84.73129940032959,84.73129940032959,84.73129940032959,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Reality,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_1.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,7,7,84,NA,NA,NA,NA,NA,3.7680007517337e-4,84.81344680022448,85.19810430007055,85.29821219993755,87.29810110013932,87.69813300017267,87.80035950010642,87.80035950010642,b,1,3.567406600341201,91.39786590030415,91.39786590030415,91.39786590030415,91.39786590030415,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
Knowledge,FALSE,TB-K,DD_NB,PsychoPyStudy2Stim/DD_NB_2.png,Adam KNOWS there are TWO cubes,2,h,b,2,2,0,2,2,0,0,0,0,NB,PropFalse,0,8,8,277,NA,NA,NA,NA,NA,5.3329998627305e-4,91.48299199994652,91.8647636002861,91.96473020035774,93.964679700322435,94.36485380027445,94.4669846999459,94.4669846999459,b,1,1.261176799889654,95.74794290028512,95.74794290028512,95.74794290028512,95.74794290028512,NA,NA,NA,NA,NA,NA,029,001,2024-10-15_16h44.19.093,PsychoPy Exp,2023.1.2,59.992212937498714
