Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.33119910000823,27.302036399953067,27.302036399953067,space,11.927854100009426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Reality,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_4.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,0,0,69,NA,NA,NA,NA,NA,0.1971818000311032,39.52386469999328,39.90120810002554,40.00126950000413,42.00119420001283,42.40134580002632,42.53372880001552,42.53372880001552,b,1,1.7681374000385404,44.317767399945296,44.317767399945296,44.317767399945296,44.317767399945296,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Knowledge,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_6.png,Adam KNOWS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoKnowledge,0,1,1,317,NA,NA,NA,NA,NA,5.3179997485131e-4,44.4129866999574,44.784584900015034,44.884581699967384,46.88471060001757,47.28477130003739,47.38703640003223,47.38703640003223,b,1,3.0665890000527725,50.48448450001888,50.48448450001888,50.48448450001888,50.48448450001888,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,2,2,147,NA,NA,NA,NA,NA,0.0011519999243319,50.58287379995454,50.96796379995067,51.06803620001301,53.06786099995952,53.468001600005664,53.57017650001217,53.57017650001217,h,1,1.8195041000144556,55.41785259998869,55.41785259998869,55.41785259998869,55.41785259998869,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Knowledge,TRUE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_3.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,NB,-,0,3,3,227,NA,NA,NA,NA,NA,0.00154850003309547,55.51088429999072,55.884563399944454,55.98465729993768,57.98456340003759,58.384581099962816,58.48681279993616,58.48681279993616,h,1,1.2475505999755114,59.75104919995647,59.75104919995647,59.75104919995647,59.75104919995647,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Reality,FALSE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_2.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,1,1,0,1,0,1,B,PropFalse,0,4,4,105,NA,NA,NA,NA,NA,3.9320008363574e-4,59.82348829996772,60.20118670002557,60.30115339998156,62.30107909999788,62.70126819994766,62.80351889994927,62.80351889994927,b,1,4.946241099969484,67.76769070001319,67.76769070001319,67.76769070001319,67.76769070001319,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,5,5,202,NA,NA,NA,NA,NA,3.9569998625665e-4,67.85799759998918,68.23453619994689,68.33443159994204,70.33446709997952,70.73464259994216,70.83704359992407,70.83704359992407,b,1,3.097713500028476,73.95127109996974,73.95127109996974,73.95127109996974,73.95127109996974,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Belief,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_4.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,6,6,123,NA,NA,NA,NA,NA,0.00174510001670569,74.03494889999274,74.41767440002877,74.51795599993784,76.51782229996752,76.91793210001197,77.0202077999711,77.0202077999711,h,1,1.3695758999092504,78.41780629998539,78.41780629998539,78.41780629998539,78.41780629998539,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Belief,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_3.png,Adam THINKS there are TWO cubes,2,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,7,7,164,NA,NA,NA,NA,NA,0.00106509996112436,78.50269320001826,78.88448320003226,78.98458409996238,80.98440650000703,81.38445449993014,81.48671289999038,81.48671289999038,b,1,1.5748458999441937,83.0843928999966,83.0843928999966,83.0843928999966,83.0843928999966,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_12.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,8,8,269,NA,NA,NA,NA,NA,7.8359991312026e-4,83.18020189995877,83.55105070001446,83.65106970001943,85.65105300000869,86.05127519997768,86.15350689995103,86.15350689995103,h,1,1.1003277000272649,87.28437300003134,87.28437300003134,87.28437300003134,87.28437300003134,NA,NA,NA,NA,NA,NA,045,001,2024-10-29_13h13.05.861,PsychoPy Exp,2023.1.2,60.0131668912648
