Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.508323899999596,32.502300000000105,32.502300000000105,space,14.487800800000514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_3.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,0,0,260,NA,NA,NA,NA,NA,0.19263430000046355,47.27899530000013,47.669938699999875,47.7699891000002,49.77002029999949,50.169132699999864,50.295576399999845,50.295576399999845,h,0,3.4631153000000268,53.78639860000021,53.78639860000021,53.78639860000021,53.78639860000021,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_6.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,1,1,71,NA,NA,NA,NA,NA,6.9040000016684e-4,53.87099229999967,54.26963069999965,54.36962140000014,56.36905680000018,56.76912379999976,56.86896129999968,56.86896129999968,h,1,2.089514700000109,58.986459799999466,58.986459799999466,58.986459799999466,58.986459799999466,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,2,2,38,NA,NA,NA,NA,NA,9.2399999994086e-4,59.07477680000011,59.470438999999715,59.570475599999554,61.56965930000024,61.96951160000026,62.06932450000022,62.06932450000022,b,1,0.8087094000002253,62.90287609999996,62.90287609999996,62.90287609999996,62.90287609999996,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_16.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,3,3,29,NA,NA,NA,NA,NA,7.8139999914128e-4,62.98556499999995,63.38575349999974,63.48632819999966,65.48627680000027,65.88623050000024,65.98585920000005,65.98585920000005,b,1,2.2921238999997513,68.30241389999992,68.30241389999992,68.30241389999992,68.30241389999992,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Knowledge,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_5.png,Adam KNOWS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoKnowledge,0,4,4,316,NA,NA,NA,NA,NA,4.4919999982084e-4,68.37780370000019,68.76942489999965,68.86894709999979,70.86986689999958,71.26993390000007,71.36959560000014,71.36959560000014,h,1,1.2284113000005163,72.61983929999951,72.61983929999951,72.61983929999951,72.61983929999951,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_6.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,5,5,17,NA,NA,NA,NA,NA,9.8109999998996e-4,72.70867369999996,73.10301879999952,73.20302389999961,75.20230999999967,75.60326350000014,75.70311829999991,75.70311829999991,b,1,0.7426551999997173,76.46877059999952,76.46877059999952,76.46877059999952,76.46877059999952,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_5.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,6,6,34,NA,NA,NA,NA,NA,4.004000002169e-4,76.54559280000012,76.93597299999965,77.03582449999976,79.03599699999995,79.43561539999973,79.53825630000028,79.53825630000028,b,1,2.68363859999954,82.25300009999955,82.25300009999955,82.25300009999955,82.25300009999955,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,TRUE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_4.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,1,1,0,1,0,1,B,-,0,7,7,53,NA,NA,NA,NA,NA,7.8049999956419e-4,82.33117270000002,82.73562700000002,82.83644540000023,84.8357833,85.23645320000014,85.33622509999987,85.33622509999987,b,1,2.2938507999997455,87.6537443999996,87.6537443999996,87.6537443999996,87.6537443999996,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
Reality,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_4.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,8,8,25,NA,NA,NA,NA,NA,0.00122079999982815,87.74682399999983,88.13594740000008,88.2360020999995,90.23767599999974,90.6355512,90.7354733000002,90.7354733000002,b,1,1.054972999999336,91.81944339999971,91.81944339999971,91.81944339999971,91.81944339999971,NA,NA,NA,NA,NA,NA,034,001,2024-10-22_12h16.09.311,PsychoPy Exp,2023.1.2,59.76443251291808
