Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.14439530018717,29.128603900084272,29.128603900084272,space,6.441275499993935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_5.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,0,0,70,NA,NA,NA,NA,NA,0.19449150003492832,35.87923440011218,36.260835400084034,36.361095500178635,38.361113500082865,38.76096480013803,38.89164160005748,38.89164160005748,h,1,0.5105924000963569,39.427740200189874,39.427740200189874,39.427740200189874,39.427740200189874,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_6.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,1,1,263,NA,NA,NA,NA,NA,0.00210989988408982,39.53461360000074,39.91097780014388,40.01107620005496,42.01115020015277,42.411005600122735,42.51341400016099,42.51341400016099,b,1,0.8883509000297636,43.427586500067264,43.427586500067264,43.427586500067264,43.427586500067264,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,FALSE,TB-K,DD_NB,PsychoPyStudy2Stim/DD_NB_2.png,Adam KNOWS there are TWO cubes,2,h,b,2,2,0,2,2,0,0,0,0,NB,PropFalse,0,2,2,277,NA,NA,NA,NA,NA,8.6330017074942e-4,43.51171260001138,43.89432270010002,43.994424500036985,45.994425900047645,46.394458200084046,46.496793100144714,46.496793100144714,h,1,0.48159990017302334,46.99436870007776,46.99436870007776,46.99436870007776,46.99436870007776,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,3,3,200,NA,NA,NA,NA,NA,0.00202120002359151,47.09069430013187,47.460915700066835,47.56092169997282,49.561142900027335,49.96104330010712,50.06325130001642,50.06325130001642,h,1,0.8023606000933796,50.893998900195584,50.893998900195584,50.893998900195584,50.893998900195584,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,4,4,98,NA,NA,NA,NA,NA,5.0719990395009e-4,50.96808290015906,51.34430770017207,51.44430029997602,53.4443842000328,53.84438150003552,53.94667070009746,53.94667070009746,h,1,0.5832708000671118,54.56081200018525,54.56081200018525,54.56081200018525,54.56081200018525,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,TRUE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_1.png,"In REALITY, there is ONE cube",1,b,h,1,0,1,1,0,1,0,0,0,NB,-,0,5,5,3,NA,NA,NA,NA,NA,0.00197359989397227,54.641458300175145,55.01095000002533,55.11108090006746,57.11105219996534,57.51082960003987,57.613322200020775,57.613322200020775,b,1,0.4125988001469522,58.04432440013625,58.04432440013625,58.04432440013625,58.04432440013625,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_5.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,6,6,34,NA,NA,NA,NA,NA,0.00230089994147419,58.15001320000738,58.52763220015913,58.62772270012647,60.6275112000294,61.027663900051266,61.129993400070816,61.129993400070816,b,1,0.4645050999242813,61.6107295001857,61.6107295001857,61.6107295001857,61.6107295001857,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_2.png,Adam THINKS there is ONE cube,1,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,7,7,163,NA,NA,NA,NA,NA,0.00112269981764256,61.69052590010688,62.06098449998535,62.16104999999516,64.1610556000378,64.56100480002351,64.6632742001675,64.6632742001675,h,1,0.70666659995913506,65.39430609997362,65.39430609997362,65.39430609997362,65.39430609997362,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_19.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,8,8,252,NA,NA,NA,NA,NA,0.00231380015611648,65.48678990011103,65.8610076000914,65.96092770015821,67.96091180015355,68.36102820001543,68.46345170005225,68.46345170005225,b,1,0.4345275000669062,68.92759390012361,68.92759390012361,68.92759390012361,68.92759390012361,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_4.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,9,9,261,NA,NA,NA,NA,NA,0.00228719995357096,69.0194319000002,69.39422460016795,69.49436950008385,71.49440190009773,71.89429960004054,71.9966172000859,71.9966172000859,b,1,0.6290925000794232,72.64404619997367,72.64404619997367,72.64404619997367,72.64404619997367,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,TRUE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_1.png,Adam THINKS there are ZERO cubes,0,b,h,2,1,1,1,1,0,1,0,1,B,-,0,10,10,158,NA,NA,NA,NA,NA,6.5279984846711e-4,72.74498530011624,73.12751730019227,73.22766020009294,75.2275233999826,75.62768530007452,75.72997610014863,75.72997610014863,b,1,2.183751800097525,77.9439964001067,77.9439964001067,77.9439964001067,77.9439964001067,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_15.png,Adam KNOWS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,11,11,297,NA,NA,NA,NA,NA,0.00201799999922513,78.02972010010853,78.41085560014471,78.51095380005427,80.51095730019733,80.91100710001774,81.01328960014507,81.01328960014507,b,0,0.6286342998500913,81.66089350008406,81.66089350008406,81.66089350008406,81.66089350008406,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,12,12,13,NA,NA,NA,NA,NA,0.00186370010487735,81.77267670002766,82.14413919998333,82.24429620010778,84.24435489997268,84.64424330019392,84.7465560999699,84.7465560999699,b,1,0.6156731999944896,85.37731939996593,85.37731939996593,85.37731939996593,85.37731939996593,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_6.png,Adam KNOWS there is ONE cube,1,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,13,13,287,NA,NA,NA,NA,NA,0.00172100006602704,85.45452310005203,85.82744420017116,85.92763769999146,87.92742100008763,88.32748019997962,88.42991539998911,88.42991539998911,h,1,0.9322124999016524,89.37746890005656,89.37746890005656,89.37746890005656,89.37746890005656,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_3.png,Adam THINKS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,14,14,190,NA,NA,NA,NA,NA,8.0949999392032e-4,89.4997594000306,89.87732010008767,89.97758250008337,91.97747320006602,92.37751800008118,92.47980910004117,92.47980910004117,h,1,1.2825673001352698,93.77752810018136,93.77752810018136,93.77752810018136,93.77752810018136,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_6.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,15,15,89,NA,NA,NA,NA,NA,0.00189499999396502,93.8746047001332,94.2441712000873,94.34406380006112,96.34422389999963,96.74416480003856,96.84635840007104,96.84635840007104,h,1,1.3793488000519574,98.24419700005092,98.24419700005092,98.24419700005092,98.24419700005092,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_2.png,"In REALITY, there is ONE cube",1,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,16,16,55,NA,NA,NA,NA,NA,0.00182770006358623,98.33532469999044,98.71060670004226,98.8108866000548,100.81091010011733,101.21087740012445,101.31325870007277,101.31325870007277,h,1,1.1925025000236928,102.52731550019234,102.52731550019234,102.52731550019234,102.52731550019234,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_15.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,17,17,28,NA,NA,NA,NA,NA,0.00164599996060132,102.61208690004425,102.99406290007757,103.09421660006046,105.09416440012863,105.49418879998848,105.59651020006277,105.59651020006277,h,0,0.6212830001022667,106.24405640014449,106.24405640014449,106.24405640014449,106.24405640014449,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,FALSE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_6.png,Adam KNOWS there is ONE cube,1,h,b,2,2,0,2,2,0,0,0,0,B,PropFalse,0,18,18,296,NA,NA,NA,NA,NA,0.00155750010162591,106.34522120002656,106.72718960000202,106.82751940004528,108.82749749999492,109.22755740000866,109.3297969000414,109.3297969000414,h,1,1.232435500016436,110.57725040009244,110.57725040009244,110.57725040009244,110.57725040009244,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,19,19,99,NA,NA,NA,NA,NA,0.00185919995419681,110.66247080010362,111.0440760999918,111.144159700023,113.14417910017072,113.5441721000243,113.6464277000632,113.6464277000632,h,1,1.1798294000327587,114.84409220004454,114.84409220004454,114.84409220004454,114.84409220004454,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,20,20,147,NA,NA,NA,NA,NA,0.00201579998247325,114.93843520013615,115.3107200001832,115.41068950016052,117.41094149998388,117.81082460004836,117.91310300002806,117.91310300002806,b,1,1.216291300021112,119.16074239998125,119.16074239998125,119.16074239998125,119.16074239998125,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_1.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,21,21,134,NA,NA,NA,NA,NA,9.8010012879967e-4,119.25737180002034,119.62718229996972,119.72744000004604,121.72746970015578,122.12742689996958,122.22984859999268,122.22984859999268,b,1,0.5807324000634253,122.8272033999674,122.8272033999674,122.8272033999674,122.8272033999674,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_20.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,22,22,253,NA,NA,NA,NA,NA,0.00213210005313158,122.91171890008263,123.29400400002488,123.3941186000593,125.39413400017656,125.79413260007276,125.89641500008292,125.89641500008292,b,1,0.4013313998002559,126.32742730015887,126.32742730015887,126.32742730015887,126.32742730015887,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,TRUE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_2.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,NB,-,0,23,23,226,NA,NA,NA,NA,NA,0.00196609995327889,126.41853160015307,126.79399460018612,126.89410200016572,128.8939841000829,129.29410389997065,129.39650170016102,129.39650170016102,b,1,0.740866799838841,130.1605625001248,130.1605625001248,130.1605625001248,130.1605625001248,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_4.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,1,1,0,1,1,0,B,PropFalse,0,24,24,79,NA,NA,NA,NA,NA,8.3600007928907e-4,130.27227880014107,130.64378760010004,130.74399160011671,132.74408049997874,133.14409329998307,133.24634030018933,133.24634030018933,h,1,1.0273209000006318,134.29403200000525,134.29403200000525,134.29403200000525,134.29403200000525,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_4.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,25,25,33,NA,NA,NA,NA,NA,0.00195299996994435,134.3877268000506,134.76045430009253,134.8608115001116,136.8606472001411,137.26057559996843,137.36300000012852,137.36300000012852,b,1,0.9267022998537868,138.31045160000212,138.31045160000212,138.31045160000212,138.31045160000212,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Knowledge,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_3.png,Adam KNOWS there are ZERO cubes,0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,26,26,236,NA,NA,NA,NA,NA,0.00180379999801516,138.39460660004988,138.77730820002034,138.87746510002762,140.87743240012787,141.27744330000132,141.37975220009685,141.37975220009685,h,0,1.1981641999445856,142.59392730006948,142.59392730006948,142.59392730006948,142.59392730006948,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,27,27,92,NA,NA,NA,NA,NA,0.00175499985925853,142.687128999969,143.06066219997592,143.16070830007084,145.16075609996915,145.56066530011594,145.6630092000123,145.6630092000123,h,1,0.9942719000391662,146.67709750006907,146.67709750006907,146.67709750006907,146.67709750006907,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
Belief,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_3.png,Adam THINKS there are TWO cubes,2,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,28,28,164,NA,NA,NA,NA,NA,4.1650002822279e-4,146.75638600019738,147.1272391001694,147.2273925000336,149.2272091000341,149.6272810001392,149.72969510010444,149.72969510010444,h,1,0.7199312001466751,150.4773079000879,150.4773079000879,150.4773079000879,150.4773079000879,NA,NA,NA,NA,NA,NA,002,001,2024-10-02_10h57.08.810,PsychoPy Exp,2023.1.2,59.99044955944899
