Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.220035100122914,30.198135500075296,30.198135500075296,space,9.070349499816077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,0,0,98,NA,NA,NA,NA,NA,0.18550170003436503,39.56182290008291,39.94725540000945,40.04735320014879,42.04727460001595,42.4472605001647,42.57699600001797,42.57699600001797,h,1,1.8437063000164928,44.44717110018246,44.44717110018246,44.44717110018246,44.44717110018246,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_1.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,1,1,0,1,1,0,B,PropFalse,0,1,1,76,NA,NA,NA,NA,NA,0.00198709988035261,44.56648910022341,44.94716370012611,45.04725110018626,47.04728480009362,47.44728760002181,47.54951880010776,47.54951880010776,h,1,2.1909350999630988,49.76367840007879,49.76367840007879,49.76367840007879,49.76367840007879,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Belief,TRUE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_3.png,Adam THINKS there are ZERO cubes,0,b,h,2,1,1,1,1,0,1,0,1,B,-,0,2,2,160,NA,NA,NA,NA,NA,6.9970008917152e-4,49.846189900068566,50.23048590007238,50.33049890003167,52.33060500002466,52.73063490004279,52.83298550010659,52.83298550010659,b,1,1.2193688999395818,54.08029740001075,54.08029740001075,54.08029740001075,54.08029740001075,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_2.png,Adam KNOWS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,3,3,217,NA,NA,NA,NA,NA,0.00133970007300376,54.16369090019725,54.54717979999259,54.64734960021451,56.647236900171265,57.04720130003989,57.149519600206986,57.149519600206986,b,1,0.8548673000186682,58.0304407000076,58.0304407000076,58.0304407000076,58.0304407000076,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_4.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,4,4,47,NA,NA,NA,NA,NA,0.00134820002131164,58.11842280020937,58.49709560000338,58.59722890006378,60.59721110016107,60.99719130015001,61.099749700166285,61.099749700166285,h,0,1.3137795000802726,62.43048660014756,62.43048660014756,62.43048660014756,62.43048660014756,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_3.png,"In REALITY, there are TWO cubes",2,h,b,2,1,1,2,1,1,0,0,0,NB,PropFalse,0,5,5,65,NA,NA,NA,NA,NA,0.00228170002810657,62.52843900001608,62.913777400041,63.013886200031266,65.01385590014979,65.41377430013381,65.51649500010535,65.51649500010535,h,1,0.903878499986604,66.44708520011045,66.44708520011045,66.44708520011045,66.44708520011045,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Belief,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_4.png,Adam THINKS there are ZERO cubes,0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,6,6,133,NA,NA,NA,NA,NA,0.00158509984612464,66.53028840012848,66.91374880005606,67.01360530010425,69.01366880000569,69.41386800003238,69.51620030007325,69.51620030007325,b,1,3.328724700026214,72.86379010020755,72.86379010020755,72.86379010020755,72.86379010020755,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Belief,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_1.png,Adam THINKS there are ZERO cubes,0,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,7,7,165,NA,NA,NA,NA,NA,0.00228100013919174,72.93830600008368,73.31371270003729,73.41382640018128,75.4138496001251,75.81376640009694,75.91610600007698,75.91610600007698,h,1,1.4885432000737635,77.4304614001885,77.4304614001885,77.4304614001885,77.4304614001885,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_2.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,8,8,259,NA,NA,NA,NA,NA,0.00225929985754191,77.52457420015708,77.89702150016092,77.99719110014848,79.99718180019408,80.39711040002294,80.49927160004154,80.49927160004154,b,1,1.4496063999831676,81.98035960015841,81.98035960015841,81.98035960015841,81.98035960015841,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_3.png,Adam KNOWS there are ZERO cubes,0,h,b,1,1,0,1,1,0,0,0,0,B,PropTrueNoKnowledge,0,9,9,290,NA,NA,NA,NA,NA,0.00198469986207783,82.07124760001898,82.44702540012076,82.54712840006687,84.54721059999429,84.94709710008465,85.04930230020545,85.04930230020545,h,1,2.9315370998810977,87.99697580002248,87.99697580002248,87.99697580002248,87.99697580002248,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_13.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,2,2,0,0,0,0,B,PropFalse,0,10,10,80,NA,NA,NA,NA,NA,0.00133030000142753,88.08759210002609,88.46373380022123,88.56378330010921,90.5637735000346,90.96375480014832,91.06605770019814,91.06605770019814,h,1,1.6742912998888642,92.76363420020787,92.76363420020787,92.76363420020787,92.76363420020787,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Belief,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_2.png,Adam THINKS there are ZERO cubes,0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,11,11,131,NA,NA,NA,NA,NA,0.00203770003281533,92.85279320017436,93.23032510001212,93.33045030012728,95.33044799999334,95.73038730002008,95.83269569999538,95.83269569999538,b,1,1.7555635999888182,97.61361880018376,97.61361880018376,97.61361880018376,97.61361880018376,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_5.png,Adam KNOWS there are ZERO cubes,0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,12,12,238,NA,NA,NA,NA,NA,9.0169999748468e-4,97.7094965002034,98.08030840009452,98.1803906999994,100.1804549000226,100.58018630021252,100.68273570016026,100.68273570016026,b,1,3.7140216999687254,104.4135645001661,104.4135645001661,104.4135645001661,104.4135645001661,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_3.png,Adam KNOWS there is ONE cube,1,h,b,2,1,1,1,1,0,1,0,1,B,PropTrueNoKnowledge,0,13,13,320,NA,NA,NA,NA,NA,6.60200137645e-4,104.4998104001861,104.88025899999776,104.98039840022102,106.98042920022272,107.38033250020816,107.48265720019116,107.48265720019116,h,1,2.209860300179571,109.7135621001944,109.7135621001944,109.7135621001944,109.7135621001944,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_11.png,Adam KNOWS there are ZERO cubes,0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,14,14,299,NA,NA,NA,NA,NA,0.00164970010519027,109.81272420007735,110.19693340011872,110.29705500020646,112.29702580021694,112.69704010011628,112.79931390006097,112.79931390006097,h,1,1.8047931001055983,114.63009109999985,114.63009109999985,114.63009109999985,114.63009109999985,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_15.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,15,15,28,NA,NA,NA,NA,NA,5.1809987053275e-4,114.71866520005278,115.09688160009682,115.19704500003718,117.19701070012523,117.5970349002164,117.6993251000531,117.6993251000531,b,1,2.265313300071284,119.98008650005796,119.98008650005796,119.98008650005796,119.98008650005796,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_15.png,Adam KNOWS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,16,16,297,NA,NA,NA,NA,NA,5.0419988110661e-4,120.05891220015474,120.43021330004558,120.53037700010464,122.53034840011968,122.93016119999812,123.03242320008576,123.03242320008576,h,1,1.7877981001511216,124.8468009000644,124.8468009000644,124.8468009000644,124.8468009000644,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_16.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,2,2,0,0,0,0,B,PropFalse,0,17,17,83,NA,NA,NA,NA,NA,0.00158299994654953,124.95596960000694,125.33007310004903,125.43034710013308,127.43008270021528,127.83003150019796,127.93268470000476,127.93268470000476,b,0,0.9677681000903248,128.93009900022298,128.93009900022298,128.93009900022298,128.93009900022298,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_4.png,Adam KNOWS there are ZERO cubes,0,h,b,1,1,0,1,1,0,0,0,0,B,PropTrueNoKnowledge,0,18,18,291,NA,NA,NA,NA,NA,0.00223389989696443,129.0166933001019,129.39684860012494,129.49696480017155,131.49697730015032,131.8969749000389,131.9992841000203,131.9992841000203,b,0,5.124789200024679,137.14661210007034,137.14661210007034,137.14661210007034,137.14661210007034,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_18.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,19,19,251,NA,NA,NA,NA,NA,6.3070002943277e-4,137.24940590001643,137.63015480013564,137.7303685999941,139.73026350000873,140.13028030004352,140.232535000192,140.232535000192,b,1,1.0919019000139087,141.34684510016814,141.34684510016814,141.34684510016814,141.34684510016814,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,Adam KNOWS there is ONE cube,1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,20,20,300,NA,NA,NA,NA,NA,0.00229460000991821,141.44068360002711,141.81347770011052,141.9136240000371,143.9135898000095,144.31370740011334,144.41580750001594,144.41580750001594,b,0,3.220264399889857,147.66338949999772,147.66338949999772,147.66338949999772,147.66338949999772,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,"In REALITY, there are ZERO cubes",0,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,21,21,67,NA,NA,NA,NA,NA,9.4870012253522e-4,147.74917740002277,148.13006970006973,148.23025390016846,150.23022940009832,150.6299961002078,150.73245510016568,150.73245510016568,h,1,2.3355040999595076,153.0966860000044,153.0966860000044,153.0966860000044,153.0966860000044,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_9.png,Adam KNOWS there are ZERO cubes,0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,22,22,242,NA,NA,NA,NA,NA,4.8759998753666e-4,153.1855914001353,153.56345430016518,153.66358730010688,155.66340090008453,156.06353260017931,156.16587220015936,156.16587220015936,b,1,1.926487300079316,158.11328510008752,158.11328510008752,158.11328510008752,158.11328510008752,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_16.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,23,23,249,NA,NA,NA,NA,NA,0.00187460007146,158.19553510006517,158.5800590000581,158.68003610009328,160.6802037002053,161.08010110002942,161.18243040004745,161.18243040004745,b,1,1.301558600040153,162.51342259999365,162.51342259999365,162.51342259999365,162.51342259999365,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,FALSE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_2.png,Adam KNOWS there are ZERO cubes,0,h,b,2,1,1,2,1,1,0,0,0,NB,PropFalse,0,24,24,280,NA,NA,NA,NA,NA,8.0689997412264e-4,162.61051220004447,162.98010100005197,163.08018920011818,165.080226900056,165.48015740001574,165.58238040003926,165.58238040003926,h,1,1.421971800038591,167.03011819999665,167.03011819999665,167.03011819999665,167.03011819999665,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_6.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,25,25,205,NA,NA,NA,NA,NA,0.00168720004148781,167.12652450008318,167.49669490009546,167.5967213001568,169.5968235000037,169.99692520010285,170.09905740013346,170.09905740013346,h,1,2.1848971000872552,172.31327230017632,172.31327230017632,172.31327230017632,172.31327230017632,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Knowledge,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_1.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,26,26,228,NA,NA,NA,NA,NA,6.3990009948611e-4,172.39716530009173,172.78000650019385,172.8801596001722,174.88008000003174,175.2800915001426,175.38252340001054,175.38252340001054,b,1,1.3979291999712586,176.79660430015065,176.79660430015065,176.79660430015065,176.79660430015065,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_3.png,"In REALITY, there are TWO cubes",2,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,27,27,59,NA,NA,NA,NA,NA,5.3859991021454e-4,176.87723710015416,177.24670400004834,177.3467889002059,179.34661840018816,179.74647020013072,179.84934170008637,179.84934170008637,h,1,1.683396700071171,181.56316720019095,181.56316720019095,181.56316720019095,181.56316720019095,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_3.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,28,28,14,NA,NA,NA,NA,NA,4.2949989438056e-4,181.63798970007335,182.01332070003264,182.1132241000887,184.11326050013304,184.51345240022056,184.61568110017103,184.61568110017103,b,1,0.8685159999877214,185.5132862001192,185.5132862001192,185.5132862001192,185.5132862001192,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
Reality,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_3.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,29,29,2,NA,NA,NA,NA,NA,0.00149779999628663,185.60115850018337,185.97996800020337,186.08010100014508,188.079764300026,188.48009100020863,188.58230590005405,188.58230590005405,b,1,2.141630900092423,190.7464852000121,190.7464852000121,190.7464852000121,190.7464852000121,NA,NA,NA,NA,NA,NA,NA,016,001,2024-10-09_10h59.11.569,PsychoPy Exp,2023.1.2,60.06060117452972
