Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.37689540022984,30.34660670021549,30.34660670021549,space,15.435094400309026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,0,0,100,NA,NA,NA,NA,NA,0.19325329968705773,46.079952999949455,46.46252690022811,46.56244899984449,48.56260719988495,48.96259499993175,49.08954870002344,49.08954870002344,b,1,1.204058500006795,50.31254990026355,50.31254990026355,50.31254990026355,50.31254990026355,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Reality,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_3.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,1,1,2,NA,NA,NA,NA,NA,0.00170570006594061,50.39045340009034,50.7625124999322,50.862499400042,52.862704399973154,53.2626273999922,53.36474889982492,53.36474889982492,h,1,1.176838899962604,54.56256220024079,54.56256220024079,54.56256220024079,54.56256220024079,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_2.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,2,2,135,NA,NA,NA,NA,NA,0.00166330020874738,54.649840800091624,55.02907929988578,55.12927589984611,57.12926910025999,57.52928700018674,57.631469500251114,57.631469500251114,h,1,0.637988599948585,58.29580930015072,58.29580930015072,58.29580930015072,58.29580930015072,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,3,3,206,NA,NA,NA,NA,NA,0.00149999978020787,58.40443219989538,58.77913790009916,58.87926489999518,60.87919200025499,61.27938080020249,61.38141130004078,61.38141130004078,b,1,0.8081076997332275,62.21254839980975,62.21254839980975,62.21254839980975,62.21254839980975,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_9.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,4,4,37,NA,NA,NA,NA,NA,0.00167170027270913,62.31422790000215,62.695840700063854,62.795917599927634,64.79593290016055,65.19582180026919,65.29796290025115,65.29796290025115,h,1,0.8916009999811649,66.21236790018156,66.21236790018156,66.21236790018156,66.21236790018156,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_3.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,5,5,32,NA,NA,NA,NA,NA,0.00167209981009364,66.28552679996938,66.66242639999837,66.76262259995565,68.76256129983813,69.16248119994998,69.26472570002079,69.26472570002079,h,1,1.876775899901986,71.16252020001411,71.16252020001411,71.16252020001411,71.16252020001411,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Reality,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,1,0,1,1,0,1,B,PropFalse,0,6,6,92,NA,NA,NA,NA,NA,0.00164619972929358,71.24585379986092,71.62910170014948,71.72919439990073,73.72922330023721,74.12912670010701,74.23129010014236,74.23129010014236,b,1,1.118216299917549,75.3791661998257,75.3791661998257,75.3791661998257,75.3791661998257,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Belief,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_4.png,Adam THINKS there is ONE cube,1,h,b,1,1,0,1,1,0,0,0,0,B,PropFalse,0,7,7,183,NA,NA,NA,NA,NA,0.00167480017989873,75.46998090017587,75.84574879985303,75.94585460005328,77.94586710026488,78.345830500125885,78.44802819984034,78.44802819984034,b,1,2.8774818000383675,81.3457896001637,81.3457896001637,81.3457896001637,81.3457896001637,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_14.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,8,8,247,NA,NA,NA,NA,NA,0.00167350005358457,81.43823820026591,81.81237429985777,81.91251760022715,83.9125240999274,84.31247440027073,84.41477680020034,84.41477680020034,h,1,0.7187260999344289,85.16223300015554,85.16223300015554,85.16223300015554,85.16223300015554,NA,NA,NA,NA,NA,NA,027,001,2024-10-15_14h03.41.766,PsychoPy Exp,2023.1.2,59.97778417129844
