Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.14168810006231,30.118545099627227,30.118545099627227,space,23.64474819973111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,FALSE,TB-K,DD_NB,PsychoPyStudy2Stim/DD_NB_3.png,Adam THINKS there are TWO cubes,2,h,b,2,2,0,2,2,0,0,0,0,NB,PropFalse,0,0,0,170,NA,NA,NA,NA,NA,0.19951119972392917,54.047773599624634,54.417450099717826,54.517730199731886,56.517712299712,56.91738409968093,57.04775339970365,57.04775339970365,h,1,5.5476861000061035,62.61763829970732,62.61763829970732,62.61763829970732,62.61763829970732,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_3.png,"In REALITY, there are TWO cubes",2,h,b,2,1,1,2,1,1,0,0,0,NB,PropFalse,0,1,1,65,NA,NA,NA,NA,NA,0.00171149987727403,62.6917900997214,63.06754869967699,63.167683199979365,65.1677052997984,65.56743829976767,65.66981959994882,65.66981959994882,h,1,2.461276500020176,68.15082299988717,68.15082299988717,68.15082299988717,68.15082299988717,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_3.png,Adam THINKS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,2,2,190,NA,NA,NA,NA,NA,0.00113879982382059,68.24835169967264,68.61751769995317,68.71763850003481,70.71767429960892,71.11759170005098,71.21972029982135,71.21972029982135,h,1,3.975600800011307,75.21753929974511,75.21753929974511,75.21753929974511,75.21753929974511,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,3,3,154,NA,NA,NA,NA,NA,0.00170410005375742,75.30503039993346,75.68414099980146,75.78420359967276,77.78411669982597,78.18421870004386,78.2864919998683,78.2864919998683,b,1,1.908738899976015,80.21745979972184,80.21745979972184,80.21745979972184,80.21745979972184,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_5.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,4,4,210,NA,NA,NA,NA,NA,0.0015314002521336,80.32222979981452,80.70067369984463,80.80079369992018,82.80090049980208,83.20084079960361,83.30312409996986,83.30312409996986,h,1,2.332546300254762,85.65071459999308,85.65071459999308,85.65071459999308,85.65071459999308,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,5,5,13,NA,NA,NA,NA,NA,0.001719799824059,85.72303309990093,86.10081540001556,86.20091449981555,88.20089459978044,88.60086129978299,88.70305949961767,88.70305949961767,b,1,1.3881636001169682,90.11747939977796,90.11747939977796,90.11747939977796,90.11747939977796,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,Adam KNOWS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,6,6,283,NA,NA,NA,NA,NA,0.00170439993962645,90.20234779966997,90.58413619967178,90.68432400003076,92.6839931998402,93.0842887996696,93.18635699991135,93.18635699991135,h,1,15.121251000091434,108.3341276999563,108.3341276999563,108.3341276999563,108.3341276999563,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_13.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,7,7,246,NA,NA,NA,NA,NA,0.00171579979360103,108.43087519984692,108.80056429980324,108.9008347997442,110.90086349984632,111.30073899962008,111.40298569994049,111.40298569994049,b,1,1.8480484997853637,113.26723099965602,113.26723099965602,113.26723099965602,113.26723099965602,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_4.png,"In REALITY, there are TWO cubes",2,h,b,2,2,0,1,1,0,1,1,0,B,PropFalse,0,8,8,79,NA,NA,NA,NA,NA,6.071999669075e-4,113.36918309982866,113.75070879980922,113.85069319978356,115.8506803996861,116.25067159999162,116.3530106996186,116.3530106996186,h,1,3.5941774998791516,119.9671648000367,119.9671648000367,119.9671648000367,119.9671648000367,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_9.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,9,9,266,NA,NA,NA,NA,NA,0.001836400013417,120.0391485998407,120.41732349991798,120.5174406999722,122.51742899976672,122.91731869988143,123.01952119963244,123.01952119963244,h,0,5.095319999847561,128.1338050998747,128.1338050998747,128.1338050998747,128.1338050998747,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_3.png,Adam KNOWS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,10,10,284,NA,NA,NA,NA,NA,4.547000862658e-4,128.21385159995407,128.5839563999325,128.68394290003926,130.68404449988157,131.0840169000439,131.18619609996676,131.18619609996676,h,1,2.1445713001303375,133.35047259973362,133.35047259973362,133.35047259973362,133.35047259973362,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_2.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,11,11,85,NA,NA,NA,NA,NA,4.8919999971985e-4,133.43003559997305,133.80058029992506,133.90074829990044,135.90055559994653,136.30071489978582,136.40282960003242,136.40282960003242,h,1,2.1123389997519553,138.5339993997477,138.5339993997477,138.5339993997477,138.5339993997477,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_2.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,12,12,19,NA,NA,NA,NA,NA,0.00171770015731453,138.6103479997255,138.98384929960594,139.0840506996028,141.0839415998198,141.4840784999542,141.58604169962928,141.58604169962928,b,1,1.050307100173086,142.6671362998895,142.6671362998895,142.6671362998895,142.6671362998895,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_2.png,Adam THINKS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,13,13,109,NA,NA,NA,NA,NA,6.8560009822249e-4,142.75058189965785,143.133912099991,143.2341050999239,145.23390770005062,145.63391709979624,145.7361774998717,145.7361774998717,b,1,5.4344263998791575,151.20031309965998,151.20031309965998,151.20031309965998,151.20031309965998,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_3.png,Adam KNOWS there is ONE cube,1,h,b,2,1,1,1,1,0,1,0,1,B,PropTrueNoKnowledge,0,14,14,320,NA,NA,NA,NA,NA,4.149000160396e-4,151.27851329976693,151.650630899705,151.7504093996249,153.75062229996547,154.15061869984493,154.25260220002383,154.25260220002383,h,1,3.886101800017059,158.16718049999326,158.16718049999326,158.16718049999326,158.16718049999326,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_4.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,15,15,123,NA,NA,NA,NA,NA,7.89700075984e-4,158.266643199604,158.65053039975464,158.7506480999291,160.75059879990297,161.15061530005187,161.25275219976902,161.25275219976902,b,1,1.6058099996298552,162.88354119984433,162.88354119984433,162.88354119984433,162.88354119984433,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,FALSE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_1.png,Adam THINKS there are ZERO cubes,0,h,b,2,1,1,2,1,1,0,0,0,NB,PropFalse,0,16,16,171,NA,NA,NA,NA,NA,4.0069967508316e-4,162.95391939999536,163.33380039967597,163.43392079975456,165.43390559963882,165.83375199977309,165.93609389988706,165.93609389988706,h,1,1.5625323001295328,167.51684869965538,167.51684869965538,167.51684869965538,167.51684869965538,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_5.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,17,17,138,NA,NA,NA,NA,NA,4.191999323666e-4,167.5925387996249,167.96714339964092,168.0672474997118,170.06709799962118,170.46727359993383,170.56937049981207,170.56937049981207,b,1,10.089245699811729,180.683694599662,180.683694599662,180.683694599662,180.683694599662,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,18,18,39,NA,NA,NA,NA,NA,0.00113969994708895,180.77056309999895,181.1502950997092,181.2502818997018,183.25058109965175,183.65052510006353,183.75267349975184,183.75267349975184,b,1,2.506210499908775,186.283834700007,186.283834700007,186.283834700007,186.283834700007,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_3.png,"In REALITY, there are TWO cubes",2,h,b,1,1,0,1,1,0,0,0,0,B,PropFalse,0,19,19,74,NA,NA,NA,NA,NA,0.0017424002289772,186.39156809961423,186.7670388999395,186.8671356998384,188.8670132998377,189.26707219984385,189.3693379997276,189.3693379997276,h,1,0.8175800000317395,190.21705919969827,190.21705919969827,190.21705919969827,190.21705919969827,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_2.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,1,1,0,1,0,1,B,-,0,20,20,51,NA,NA,NA,NA,NA,0.00168980006128549,190.31146229989827,190.68370949989185,190.7836241996847,192.78384159971029,193.18367659999055,193.28593939961863,193.28593939961863,b,1,2.532911299727857,195.85021379962564,195.85021379962564,195.85021379962564,195.85021379962564,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,FALSE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_3.png,Adam THINKS there are TWO cubes,2,h,b,1,1,0,1,1,0,0,0,0,NB,PropFalse,0,21,21,164,NA,NA,NA,NA,NA,3.9510009810328e-4,195.9210484996438,196.30035669961944,196.40047839982435,198.40047140000388,198.80052979988977,198.9026267998852,198.9026267998852,h,1,1.54839689983055,200.4671070999466,200.4671070999466,200.4671070999466,200.4671070999466,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_3.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,22,22,260,NA,NA,NA,NA,NA,0.00170830031856894,200.5496391998604,200.9337009000592,201.033820099663,203.03380579967052,203.4337736000307,203.53594589978456,203.53594589978456,h,0,4.450834100134671,208.01700909994543,208.01700909994543,208.01700909994543,208.01700909994543,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,Adam KNOWS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoKnowledge,0,23,23,308,NA,NA,NA,NA,NA,0.00163420010358095,208.11498149996623,208.50034839985892,208.6005927999504,210.600414799992,211.00052749970928,211.1025827997364,211.1025827997364,h,1,3.628214600030333,214.75020129978657,214.75020129978657,214.75020129978657,214.75020129978657,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_4.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,24,24,25,NA,NA,NA,NA,NA,0.00176799995824694,214.82280049985275,215.200323399622,215.30045360000804,217.3004147997126,217.70037569990384,217.80245909979567,217.80245909979567,h,0,2.576248999685049,220.40018099965528,220.40018099965528,220.40018099965528,220.40018099965528,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,TB-K-B,DD_B,PsychoPyStudy2Stim/DD_B_14.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,2,2,0,0,0,0,B,-,0,25,25,27,NA,NA,NA,NA,NA,0.00180219998583197,220.48037040000781,220.85008169990033,220.95039759995416,222.95011879969388,223.35040709981695,223.45258519984785,223.45258519984785,b,1,2.99839109973982,226.46685929968953,226.46685929968953,226.46685929968953,226.46685929968953,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_3.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,26,26,24,NA,NA,NA,NA,NA,0.00167470006272196,226.54651649994776,226.9169095000252,227.01708869962025,229.0168507997878,229.41696999967095,229.51909229997543,229.51909229997543,b,1,4.323671799618751,233.866928699892,233.866928699892,233.866928699892,233.866928699892,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_4.png,"In REALITY, there is ONE cube",1,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,27,27,69,NA,NA,NA,NA,NA,0.00171220023185014,233.96323799993843,234.3334233998321,234.43345210002735,236.43350759986788,236.833412299864,236.9358234996907,236.9358234996907,h,1,1.9224660000763831,238.88324379967528,238.88324379967528,238.88324379967528,238.88324379967528,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_3.png,"In REALITY, there are TWO cubes",2,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,28,28,59,NA,NA,NA,NA,NA,4.0390016511082e-4,238.9580362997949,239.3332898998633,239.433333999943,241.4336689999327,241.83358699968085,241.93570499960333,241.93570499960333,h,1,1.450910999905318,243.41682179970667,243.41682179970667,243.41682179970667,243.41682179970667,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_4.png,Adam KNOWS there are ZERO cubes,0,h,b,2,2,0,1,1,0,1,1,0,B,PropTrueNoKnowledge,0,29,29,295,NA,NA,NA,NA,NA,7.9889968037605e-4,243.50851879967377,243.88348499964923,243.983644799795,245.98363329982385,246.3835564996116,246.4857193999924,246.4857193999924,h,1,2.524977599736303,249.0336301997304,249.0336301997304,249.0336301997304,249.0336301997304,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_1.png,"In REALITY, there are TWO cubes",2,h,b,1,1,0,1,1,0,0,0,0,B,PropFalse,0,30,30,72,NA,NA,NA,NA,NA,0.00172050017863512,249.13528040004897,249.5168188000098,249.61694329977036,251.61692929966375,252.0168903996237,252.11908139986917,252.11908139986917,h,1,0.9955140999518336,253.13345369976017,253.13345369976017,253.13345369976017,253.13345369976017,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_2.png,Adam KNOWS there are TWO cubes,2,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,31,31,274,NA,NA,NA,NA,NA,0.00153079954907298,253.2160963998176,253.60018670000136,253.7000596998259,255.70015969965607,256.10013589961454,256.20241429982707,256.20241429982707,h,1,5.416997599881142,261.64995869994164,261.64995869994164,261.64995869994164,261.64995869994164,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_6.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,32,32,205,NA,NA,NA,NA,NA,3.9379997178912e-4,261.72577729960904,262.100115200039,262.2002133997157,264.20004769973457,264.6002286998555,264.7023606998846,264.7023606998846,h,1,2.5162376002408564,267.250129299704,267.250129299704,267.250129299704,267.250129299704,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Knowledge,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,Adam KNOWS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoKnowledge,0,33,33,313,NA,NA,NA,NA,NA,0.00116440001875162,267.3402674999088,267.7167837996967,267.81688729999587,269.81684960005805,270.21677060006186,270.3190319999121,270.3190319999121,h,1,4.531784200109541,274.8666448998265,274.8666448998265,274.8666448998265,274.8666448998265,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
Reality,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_2.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,34,34,23,NA,NA,NA,NA,NA,0.00162759982049465,274.94171709986404,275.31675549969077,275.4168541999534,277.41669650003314,277.81685799965635,277.9189791996032,277.9189791996032,b,1,1.5958499000407755,279.53346870001405,279.53346870001405,279.53346870001405,279.53346870001405,NA,NA,NA,NA,NA,NA,030,001,2024-10-16_12h04.43.160,PsychoPy Exp,2023.1.2,59.96404564745308
