Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.760833599837497,15.729552099946886,15.729552099946886,space,20.584121400024745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Belief,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_1.png,Adam THINKS there is ONE cube,1,h,b,1,1,0,1,1,0,0,0,0,B,PropFalse,0,0,0,180,NA,NA,NA,NA,NA,0.20637010014615953,36.61585709988139,36.995427599875256,37.09553509997204,39.09551679994911,39.49555670004338,39.642318199854344,39.642318199854344,b,1,0.8879543000366539,40.54529449995607,40.54529449995607,40.54529449995607,40.54529449995607,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Reality,TRUE,TB-Ig,D_B_D,PsychoPyStudy2Stim/D_B_D_1.png,"In REALITY, there are ZERO cubes",0,b,h,2,2,0,1,1,0,1,1,0,B,-,0,1,1,22,NA,NA,NA,NA,NA,0.00102660013362765,40.61963490000926,40.9954090998508,41.09551559993997,43.09555500000715,43.49553189985454,43.5976110000629,43.5976110000629,h,1,0.5238642001058906,44.145300099859014,44.145300099859014,44.145300099859014,44.145300099859014,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Knowledge,TRUE,TB-K,D_NB,PsychoPyStudy2Stim/D_NB_2.png,Adam KNOWS there are ZERO cubes,0,b,h,1,1,0,1,1,0,0,0,0,NB,-,0,2,2,217,NA,NA,NA,NA,NA,7.3310011066496e-4,44.21546059986576,44.595364100066945,44.69560349988751,46.69555349997245,47.095231499988586,47.19793639983982,47.19793639983982,b,0,0.883665599860251,48.11210280004889,48.11210280004889,48.11210280004889,48.11210280004889,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Reality,FALSE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_2.png,"In REALITY, there are ZERO cubes",0,h,b,2,1,1,2,1,1,0,0,0,B,PropFalse,0,3,3,85,NA,NA,NA,NA,NA,0.00183560000732541,48.19737929990515,48.57857979997061,48.67885149992071,50.67888020002283,51.078803499927744,51.18084489996545,51.18084489996545,b,1,2.245001000119373,53.4453777000308,53.4453777000308,53.4453777000308,53.4453777000308,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Reality,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_3.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,4,4,20,NA,NA,NA,NA,NA,0.00234720017760992,53.54495629994199,53.928584299981594,54.02871780004352,56.02867050003261,56.428627599962056,56.53090179990977,56.53090179990977,h,1,0.6148775001056492,57.16204039985314,57.16204039985314,57.16204039985314,57.16204039985314,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Belief,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_3.png,Adam THINKS there is ONE cube,1,h,b,1,1,0,1,1,0,0,0,0,B,PropFalse,0,5,5,182,NA,NA,NA,NA,NA,0.00137559999711811,57.25175529997796,57.628530599875376,57.72865669988096,59.728772999951616,60.12873349990696,60.230870299972594,60.230870299972594,b,1,1.2994524999521673,61.561822099843994,61.561822099843994,61.561822099843994,61.561822099843994,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,6,6,40,NA,NA,NA,NA,NA,5.7340017519891e-4,61.63686119997874,62.01199859986082,62.111995100043714,64.11183049995452,64.51202969998121,64.61416479991749,64.61416479991749,h,1,0.54806289984844625,65.17872419999912,65.17872419999912,65.17872419999912,65.17872419999912,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_6.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,7,7,151,NA,NA,NA,NA,NA,0.00228599994443357,65.26076880004257,65.64532339992002,65.74541259999387,67.7454142998904,68.14546180004254,68.24748530006036,68.24748530006036,h,1,1.8023645000066608,70.0785910000559,70.0785910000559,70.0785910000559,70.0785910000559,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
Belief,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_8.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,8,8,141,NA,NA,NA,NA,NA,0.00210499996319413,70.16200959985144,70.54531459999271,70.6454072999768,72.64521109987982,73.04537439998239,73.14754369994625,73.14754369994625,h,1,0.5740948999300599,73.74537070002407,73.74537070002407,73.74537070002407,73.74537070002407,NA,NA,NA,NA,NA,NA,007,001,2024-10-03_09h40.39.147,PsychoPy Exp,2023.1.2,60.055839911674546
