Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndPressSPACE.keys,ExpEndPressSPACE.rt,participant,session,date,expName,psychopyVersion,frameRate
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.750791299971752,27.72466309997253,27.72466309997253,space,18.13893159996951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_4.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,0,0,209,NA,NA,NA,NA,NA,0.22908899997128176,46.195776299980935,46.57351979997475,46.67379689996597,48.673947000002954,49.07391409995034,49.20134189998498,49.20134189998498,h,1,1.3821949000121094,50.60685989999911,50.60685989999911,50.60685989999911,50.60685989999911,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Belief,FALSE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,Adam THINKS there are TWO cubes,2,h,b,2,0,2,1,0,1,1,0,1,B,PropTrueNoBelief,0,1,1,207,NA,NA,NA,NA,NA,4.0269998135045e-4,50.67957119998755,51.05687509995187,51.157079299970064,53.15712289995281,53.55701299995417,53.6609807999921,53.6609807999921,h,1,2.8030485999770463,56.490231000003405,56.490231000003405,56.490231000003405,56.490231000003405,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Belief,TRUE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_6.png,Adam THINKS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,NB,-,0,2,2,125,NA,NA,NA,NA,NA,0.00182619999395683,56.56135469995206,56.94023670000024,57.04055259999586,59.04032079997705,59.44032149994746,59.54292379994877,59.54292379994877,b,1,1.00859969999874,60.573636699991766,60.573636699991766,60.573636699991766,60.573636699991766,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Knowledge,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_11.png,Adam KNOWS there is ONE cube,1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,3,3,268,NA,NA,NA,NA,NA,5.6140002561733e-4,60.6612358999555,61.040191999985844,61.14033510000445,63.140406999969855,63.54029909998644,63.64398309995886,63.64398309995886,b,1,0.787474500015378,64.45691959996475,64.45691959996475,64.45691959996475,64.45691959996475,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_3.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,4,4,46,NA,NA,NA,NA,NA,4.219000111334e-4,64.53519869997399,64.90688189998036,65.00696979998611,67.00708439998562,67.40725109999767,67.5095870999503,67.5095870999503,b,1,1.1149517000303604,68.64031509996857,68.64031509996857,68.64031509996857,68.64031509996857,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Knowledge,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_3.png,Adam KNOWS there are TWO cubes,2,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,5,5,275,NA,NA,NA,NA,NA,3.9130001096054e-4,68.72695099998964,69.10700530000031,69.20715989999007,71.20727999997325,71.60732899996219,71.7094598999829,71.7094598999829,h,1,0.6503110000048764,72.39036149997264,72.39036149997264,72.39036149997264,72.39036149997264,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Belief,FALSE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_1.png,Adam THINKS there is ONE cube,1,h,b,1,1,0,1,1,0,0,0,0,B,PropFalse,0,6,6,180,NA,NA,NA,NA,NA,0.00176980003016069,72.46145219996106,72.84029239998199,72.94062299997313,74.94060249999166,75.34057959995698,75.44289499998558,75.44289499998558,h,1,1.068582999985665,76.5404396999511,76.5404396999511,76.5404396999511,76.5404396999511,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_2.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,7,7,31,NA,NA,NA,NA,NA,0.00117030000546947,76.6318648000015,77.0068088999833,77.106973499991,79.10691459994996,79.50703509995947,79.60942039999645,79.60942039999645,b,1,1.134494400001131,80.7735789999715,80.7735789999715,80.7735789999715,80.7735789999715,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,8,8,39,NA,NA,NA,NA,NA,4.1809998219832e-4,80.85045469994657,81.22372639999958,81.32368559995666,83.32371869997587,83.72386829997413,83.82603289996041,83.82603289996041,b,1,0.6142606000066735,84.45707989996299,84.45707989996299,84.45707989996299,84.45707989996299,NA,NA,NA,NA,NA,NA,038,001,2024-10-28_10h12.31.773,PsychoPy Exp,2023.1.2,60.0407316349468
