Condition,TrueFalse,Scenario,StimType,Stimulus,Statement,StatementNum,CorAnsEven,CorAnsOdd,TotalObjects,TotalDistractors,TotalTargets,VisibleObjects,VisibleDistractors,VisibleTargets,HiddenObjects,HiddenDistractors,HiddenTargets,Barrier,WhyFalse,ExpTrial.thisRepN,ExpTrial.thisTrialN,ExpTrial.thisN,ExpTrial.thisIndex,ExpIntroText.started,ExpIntroPressSPACEText.started,ExpIntroPressSPACE.started,ExpIntroPressSPACE.keys,ExpIntroPressSPACE.rt,ExpISI.started,ExpPrimerText.started,ExpPrimerText.stopped,ExpText.started,ExpImagePrimer.started,ExpImagePrimer.stopped,ExpImage.started,ExpResponse.started,ExpResponse.keys,ExpResponse.corr,ExpResponse.rt,BreakTextPrompt.started,BreakTextPrompt.stopped,BreakTextKeyResponse.started,BreakTextKeyResponse.stopped,BreakTextKeyResponse.keys,BreakTextKeyResponse.rt,ExpEndText.started,ExpEndPressSPACE.started,ExpEndText.stopped,ExpEndPressSPACE.stopped,ExpEndPressSPACE.keys,participant,session,date,expName,psychopyVersion,frameRate
Knowledge,FALSE,TB-K,TD_NB,PsychoPyStudy2Stim/TD_NB_3.png,Adam KNOWS there are TWO cubes,2,h,b,2,1,1,2,1,1,0,0,0,NB,PropFalse,0,81,81,281,NA,NA,NA,NA,NA,0.00170530006289482,393.6709561999887,394.0531981000677,394.1531861999538,396.15331570012495,396.5531655000523,396.65541650005616,396.65541650005616,b,1,0.8911981999408454,397.56966249994,397.56966249994,397.56966249994,397.56966249994,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,TRUE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_18.png,Adam KNOWS there are TWO cubes,2,b,h,2,0,2,2,0,2,0,0,0,B,-,0,82,82,251,NA,NA,NA,NA,NA,0.0013150000013411,397.65036650002,398.0198979999405,398.1199882000219,400.1198490001261,400.5199778000824,400.622255000053,400.622255000053,h,1,1.6046003999654204,402.252990799956,402.252990799956,402.252990799956,402.252990799956,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,FALSE,TB-K,TT_NB,PsychoPyStudy2Stim/TT_NB_2.png,Adam THINKS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,NB,PropFalse,0,83,83,175,NA,NA,NA,NA,NA,3.8930005393922e-4,402.3239464000799,402.7032163999975,402.8032964000013,404.8033096999862,405.203205200145,405.3055533999577,405.3055533999577,b,1,0.7608838998712599,406.086402800167,406.086402800167,406.086402800167,406.086402800167,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,TRUE,TB-Ig,D_B,PsychoPyStudy2Stim/D_B_4.png,"In REALITY, there are ZERO cubes",0,b,h,1,1,0,1,1,0,0,0,0,B,-,0,84,84,21,NA,NA,NA,NA,NA,3.9419997483491e-4,406.16367250005715,406.5364622999914,406.6365951001644,408.63646410009824,409.0366285999771,409.13951910007745,409.13951910007745,h,1,1.1112454000394791,410.2696609001141,410.2696609001141,410.2696609001141,410.2696609001141,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,TRUE,TB-K-B,TD_B,PsychoPyStudy2Stim/TD_B_7.png,"In REALITY, there is ONE cube",1,b,h,2,1,1,2,1,1,0,0,0,B,-,0,85,85,36,NA,NA,NA,NA,NA,0.00370110012590885,410.345861800015,410.7196494000964,410.8198365001008,412.8198885000311,413.2198322999757,413.3222171999514,413.3222171999514,h,1,0.6650171000510454,414.0030584000051,414.0030584000051,414.0030584000051,414.0030584000051,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,FALSE,TB-K,T_NB,PsychoPyStudy2Stim/T_NB_3.png,Adam THINKS there are TWO cubes,2,h,b,1,0,1,1,0,1,0,0,0,NB,PropFalse,0,86,86,167,NA,NA,NA,NA,NA,4.1810004040598e-4,414.0706933001056,414.4530124999583,414.5531187001616,416.5532496999949,416.9531940999441,417.0553962001577,417.0553962001577,b,1,1.0511149000376463,418.13643920002505,418.13643920002505,418.13643920002505,418.13643920002505,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Knowledge,FALSE,TB-K-B,TT_B,PsychoPyStudy2Stim/TT_B_15.png,Adam KNOWS there are ZERO cubes,0,h,b,2,0,2,2,0,2,0,0,0,B,PropFalse,0,87,87,297,NA,NA,NA,NA,NA,0.00151679990813136,418.2320771999657,418.60310720000416,418.7031594000291,420.70323430001736,421.1032402999699,421.20544900000095,421.20544900000095,b,1,1.0693172998726368,422.3029477000237,422.3029477000237,422.3029477000237,422.3029477000237,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_1.png,Adam THINKS there is ONE cube,1,b,h,2,0,2,1,0,1,1,0,1,B,-,0,88,88,146,NA,NA,NA,NA,NA,3.8109999150037e-4,422.3901528001297,422.76974770007655,422.8698972000275,424.8698938000016,425.2698089999613,425.37217720015906,425.37217720015906,h,1,1.1745995001401752,426.5695746000856,426.5695746000856,426.5695746000856,426.5695746000856,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Belief,FALSE,FB-Ig,D_B_T,PsychoPyStudy2Stim/D_B_T_1.png,Adam THINKS there is ONE cube,1,h,b,2,1,1,1,1,0,1,0,1,B,PropTrueNoBelief,0,89,89,212,NA,NA,NA,NA,NA,0.00168249988928437,426.63536630012095,427.019741400145,427.1198672000319,429.11961759999394,429.5198751001153,429.6220824001357,429.6220824001357,b,1,0.820324799977243,430.4697495000437,430.4697495000437,430.4697495000437,430.4697495000437,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
Reality,TRUE,FB-Ig,T_B_T,PsychoPyStudy2Stim/T_B_T_2.png,"In REALITY, there are TWO cubes",2,b,h,2,0,2,1,0,1,1,0,1,B,-,0,90,90,45,NA,NA,NA,NA,NA,0.00117009994573891,430.5621251000557,430.93642000015825,431.0364924999885,433.0364048001357,433.4364643001463,433.5387377000879,433.5387377000879,h,1,1.5922008000779897,435.153027900029,435.153027900029,435.153027900029,435.153027900029,NA,NA,NA,NA,NA,NA,NA,003,001,2024-10-02_12h15.34.453,PsychoPy Exp,2023.1.2,60.00510045840515
